,Test Subjects,Batch_Size,Learning_Rate,Epoch_Results
0,['subject102' 'subject107'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], 'val_subjects': array(['subject104', 'subject105'], dtype='<U10'), 'noise_scale': [5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0], 'achieved_epsilon': [np.float64(0.107), np.float64(0.149), np.float64(0.183), np.float64(0.211), np.float64(0.237), np.float64(0.26), np.float64(0.281), np.float64(0.301), np.float64(0.32), np.float64(0.338), np.float64(0.356), np.float64(0.372), np.float64(0.388), np.float64(0.404), np.float64(0.418), np.float64(0.433), np.float64(0.447), np.float64(0.461), np.float64(0.474), np.float64(0.487)], 'train_loss': [7.715192360416097, 6.351975333395656, 5.4410946409955505, 5.393556318309832, 4.932737406749768, 4.710933011107975, 4.265058383252407, 4.15011388355735, 4.245033040061012, 3.7922900416440344, 3.5943806394989237, 3.505078859335769, 3.3298289841121487, 3.146688825088731, 2.907759269899924, 2.960443888150838, 2.9577759030747086, 2.8516407013765, 2.737808231409494, 2.70371132496747], 'train_acc': [13.31908831908832, 18.12227074235808, 21.454027084818247, 23.56241234221599, 27.319970304380103, 30.694444444444443, 35.997220291869354, 37.81094527363184, 37.912912912912915, 40.34302759134974, 40.586080586080584, 41.18050789293068, 42.21902017291066, 43.11334289813487, 45.83036350677121, 44.82501861504095, 45.27757750540735, 50.34626038781163, 49.78354978354978, 50.72967338429465], 'val_loss': [7.39594411015671, 6.8060617588089425, 5.936036699071707, 5.572983397770057, 5.0463070112153945, 5.152804536421559, 4.738339665439857, 4.751330005368506, 4.678972484285707, 4.05175268601922, 4.047715156909434, 3.896057435031855, 3.734401975634281, 3.5528641074374416, 3.438014771062304, 3.624492112592284, 3.5316428021498996, 3.378443575482991, 3.360776240219178, 3.270016778044874], 'val_acc': [15.612382234185734, 22.88021534320323, 22.88021534320323, 27.321668909825032, 28.129205921938087, 29.071332436069987, 33.37819650067295, 34.58950201884253, 36.60834454912517, 37.81965006729475, 36.60834454912517, 37.68506056527591, 38.088829071332434, 40.242261103633915, 40.107671601615074, 40.107671601615074, 41.857335127860026, 43.741588156123825, 44.14535666218035, 44.818304172274566], 'val_f1': [0.11592818535445845, 0.17995343916770054, 0.17693987955312973, 0.21443891185590702, 0.2202652790325104, 0.22925209947925113, 0.26010301301950695, 0.2605286495611226, 0.28418119270146047, 0.3051352079820624, 0.3028892824557369, 0.3175316206303572, 0.3185370596671608, 0.34404156286540233, 0.35396845081092143, 0.3602324982171825, 0.37091369210344716, 0.403790113729772, 0.4084940414795274, 0.40958066090699874]}"
1,['subject102' 'subject107'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], 'val_subjects': array(['subject103', 'subject106'], dtype='<U10'), 'noise_scale': [5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0], 'achieved_epsilon': [np.float64(0.105), np.float64(0.148), np.float64(0.181), np.float64(0.209), np.float64(0.234), np.float64(0.257), np.float64(0.278), np.float64(0.298), np.float64(0.317), np.float64(0.335), np.float64(0.352), np.float64(0.368), np.float64(0.384), np.float64(0.399), np.float64(0.414), np.float64(0.428), np.float64(0.442), np.float64(0.455), np.float64(0.468), np.float64(0.481)], 'train_loss': [8.166316164829066, 7.1155944086702005, 6.448750798460268, 5.713345668304557, 5.674507331290847, 5.346973055450377, 5.062691915397534, 4.458375741638522, 4.292746226215764, 4.149490828219833, 3.9939250193057427, 3.864395794160161, 3.823261540410958, 3.694473569585064, 3.5028644206719997, 3.2039285700885443, 3.110714521040245, 3.081920363821861, 3.0799304814107957, 2.9630102421371483], 'train_acc': [15.95460614152203, 19.621109607577807, 21.07877927608233, 27.155465037338764, 29.948867786705623, 30.3485987696514, 33.71924746743849, 33.42579750346741, 38.70967741935484, 38.42070338420704, 40.428472702142365, 42.78606965174129, 42.148198504418765, 42.29195088676671, 44.877344877344875, 45.759233926128594, 48.19532908704883, 47.949965253648365, 47.983870967741936, 49.19524142757173], 'val_loss': [7.35850359931525, 6.834693049524596, 6.083217120575264, 5.509557478203632, 5.346257522912983, 5.205488733177981, 4.825606848612491, 4.462191811258229, 4.297582630010103, 4.178316994136808, 4.022288556399069, 3.9337719449776065, 3.7916384697002603, 3.5642224285103477, 3.3325545135279526, 3.210099584521802, 3.1956838148275897, 3.1444947308580136, 3.0869080733713368, 3.014380663823036], 'val_acc': [25.17680339462518, 26.025459688826025, 31.258840169731258, 34.512022630834515, 37.34087694483734, 37.199434229137196, 39.03818953323904, 41.15983026874116, 40.31117397454031, 41.018387553041016, 43.28147100424328, 44.271570014144274, 45.26166902404526, 47.38330975954738, 46.81753889674682, 50.63649222065064, 51.48514851485149, 50.91937765205092, 54.31400282885431, 54.03111739745403], 'val_f1': [0.183089513574207, 0.17814575189918214, 0.2322931659525757, 0.2558098338620085, 0.27874158942120997, 0.28192774362406164, 0.30157248550113946, 0.3251461841527031, 0.31742895777417773, 0.32487604207166276, 0.3478342043335604, 0.3520484332472602, 0.36735963394458215, 0.3953738344882147, 0.39049500547278615, 0.42554014796620565, 0.4378245938754803, 0.43256507251927667, 0.4688089036058911, 0.4561615463366132]}"
2,['subject102' 'subject107'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], 'val_subjects': array(['subject101', 'subject108'], dtype='<U10'), 'noise_scale': [5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0], 'achieved_epsilon': [np.float64(0.105), np.float64(0.148), np.float64(0.181), np.float64(0.209), np.float64(0.234), np.float64(0.257), np.float64(0.278), np.float64(0.298), np.float64(0.317), np.float64(0.335), np.float64(0.352), np.float64(0.368), np.float64(0.384), np.float64(0.399), np.float64(0.414), np.float64(0.428), np.float64(0.442), np.float64(0.455), np.float64(0.468), np.float64(0.481)], 'train_loss': [8.011747599774965, 7.0846101616611, 6.081932906244622, 5.755721847051407, 5.121731908291441, 4.82647879276435, 4.599387197896464, 4.394840281752949, 4.081198899424714, 4.119132498266297, 3.5295974489760726, 3.5647812182825755, 3.3432515166053394, 3.288722022968556, 3.0159787969912837, 3.1927749827812457, 3.159463039091078, 3.163434891640639, 3.01475587862913, 2.9689542779511813], 'train_acc': [11.88386225523295, 16.946778711484594, 21.243169398907103, 23.167358229598893, 27.495042961004625, 30.431754874651812, 31.543167912984366, 33.286418015482056, 36.425186188219364, 32.940360610263525, 37.945205479452056, 37.94037940379404, 42.67425320056899, 43.15937940761636, 44.97671324018629, 45.51724137931034, 45.76271186440678, 45.168067226890756, 47.028086218158066, 45.727956254272044], 'val_loss': [7.118960925318794, 6.511706745338709, 5.856674818965713, 5.392120777341644, 5.026501385844477, 4.890680938202504, 4.482085580865318, 4.203601537164621, 4.187742619025186, 3.8309928307569834, 3.7411914538429216, 3.3687072956490582, 3.393806245151713, 3.2612445886615973, 3.2994263249282607, 3.30023367437094, 3.177040479210309, 3.041004319214203, 2.9561657611443564, 3.0649286551356356], 'val_acc': [10.860366713681241, 15.514809590973202, 17.48942172073343, 22.143864598025388, 24.823695345557123, 27.64456981664316, 29.19605077574048, 29.90126939351199, 31.45275035260931, 32.01692524682652, 33.85049365303244, 36.81241184767278, 35.40197461212976, 37.79971791255289, 38.5049365303244, 38.645980253878705, 41.74894217207334, 40.90267983074753, 42.03102961918194, 42.73624823695346], 'val_f1': [0.0880117342918291, 0.10981905673953138, 0.13994670326304426, 0.17252572918212275, 0.19340498137694284, 0.21639547039422552, 0.23040266276774024, 0.2424092061043976, 0.25072652659409084, 0.2618699357451789, 0.29405797708870096, 0.33056921848717125, 0.3115680437664457, 0.33983087572114923, 0.3428601506615904, 0.3404148099194996, 0.3789234153312042, 0.3828829639686309, 0.3867799417507678, 0.39489348940659896]}"
3,['subject105' 'subject108'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], 'val_subjects': array(['subject106', 'subject107'], dtype='<U10'), 'noise_scale': [5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0], 'achieved_epsilon': [np.float64(0.107), np.float64(0.149), np.float64(0.183), np.float64(0.211), np.float64(0.237), np.float64(0.26), np.float64(0.281), np.float64(0.301), np.float64(0.32), np.float64(0.338), np.float64(0.356), np.float64(0.372), np.float64(0.388), np.float64(0.404), np.float64(0.418), np.float64(0.433), np.float64(0.447), np.float64(0.461), np.float64(0.474), np.float64(0.487)], 'train_loss': [8.463254883874717, 7.445016297961162, 6.842490538396478, 6.498675918579101, 5.822084854501449, 5.304842460334871, 4.99647250879531, 4.810563406729781, 4.516964442828356, 4.5119770457878685, 4.265208048844736, 4.164091887704113, 3.925936998051705, 3.727280340142907, 3.5985189532455273, 3.688841518243836, 3.4873841438005275, 3.4226025118271175, 3.494071144369704, 3.4373019246951393], 'train_acc': [9.87831066571224, 11.293634496919918, 15.129682997118156, 20.070422535211268, 24.81203007518797, 27.29138166894665, 30.201342281879196, 32.80276816608997, 34.54018826937002, 34.91083676268862, 36.81917211328976, 39.32748538011696, 40.79136690647482, 42.498302783435165, 43.080198722498224, 43.06151645207439, 44.483485593815885, 46.0618846694796, 44.562899786780385, 46.15942028985507], 'val_loss': [9.706754831372857, 8.542518285810113, 7.8535181253898045, 6.972677074560599, 6.2309844006343384, 5.472267958630367, 5.298120845265749, 4.982624207558084, 5.14169122524956, 4.875642059563923, 4.96200740971819, 4.929928331815896, 4.462548963996877, 4.09196541740113, 4.0435268189392835, 4.04825930852516, 3.9047017219353792, 3.6671814118780675, 3.701341952345952, 3.598972653307501], 'val_acc': [7.983193277310924, 10.084033613445378, 16.386554621848738, 21.988795518207283, 24.369747899159663, 29.971988795518207, 29.69187675070028, 32.91316526610644, 32.91316526610644, 36.27450980392157, 36.27450980392157, 35.714285714285715, 38.37535014005602, 40.7563025210084, 46.778711484593835, 42.99719887955182, 43.417366946778714, 47.47899159663866, 43.27731092436975, 46.07843137254902], 'val_f1': [0.06800779291675806, 0.09195416547038698, 0.14356333478433508, 0.18426217712522536, 0.1984549520756258, 0.24420382639720364, 0.25143266476198917, 0.2756215491497562, 0.26833892912072155, 0.2952919797041204, 0.2840883778038695, 0.29151028855171335, 0.31460339704214935, 0.3344479528925024, 0.37117887844885167, 0.35432965027032826, 0.3594965221363894, 0.38609587072704626, 0.3659628303970786, 0.39308168596764115]}"
4,['subject105' 'subject108'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], 'val_subjects': array(['subject101', 'subject103'], dtype='<U10'), 'noise_scale': [5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0], 'achieved_epsilon': [np.float64(0.105), np.float64(0.148), np.float64(0.181), np.float64(0.209), np.float64(0.234), np.float64(0.257), np.float64(0.278), np.float64(0.298), np.float64(0.317), np.float64(0.335), np.float64(0.352), np.float64(0.368), np.float64(0.384), np.float64(0.399), np.float64(0.414), np.float64(0.428), np.float64(0.442), np.float64(0.455), np.float64(0.468), np.float64(0.481)], 'train_loss': [9.563494344837004, 8.090356715423107, 6.974957032814338, 6.178242240445368, 5.77174130491344, 4.969715608528682, 4.796122475816167, 4.356852873117845, 4.044795235054113, 3.7739490587084954, 3.361564056695003, 3.0224832546143303, 2.9685237432519593, 2.7625170332930957, 2.75903649473942, 2.723882424716766, 2.6343597479633516, 2.6821169526702837, 2.464709448664023, 2.4214924987716624], 'train_acc': [13.39541547277937, 14.73183978275628, 20.02724795640327, 22.344827586206897, 25.450762829403605, 28.714285714285715, 31.236749116607776, 34.28377460964019, 37.09449929478138, 38.239339752407155, 41.96675900277008, 43.12925170068027, 43.611111111111114, 44.214046822742475, 44.893762851267994, 46.42857142857143, 48.53146853146853, 49.001426533523535, 50.805886475122634, 51.483781918564524], 'val_loss': [8.78809288569859, 7.566270403617732, 6.678111874781989, 6.930000920273353, 5.584181828201247, 5.217879138768665, 5.12085845223581, 5.015947364109419, 4.7233045526913235, 4.315452189479039, 4.06076194309397, 3.733510627891078, 3.5550128536414447, 3.4336116613247696, 3.6052564183440903, 3.53392428673621, 3.359589782603956, 3.2780748370357533, 3.29181376958876, 3.3403276368722987], 'val_acc': [16.305916305916305, 19.76911976911977, 24.675324675324674, 24.675324675324674, 26.984126984126984, 27.994227994227995, 28.86002886002886, 27.849927849927848, 30.158730158730158, 31.746031746031747, 34.05483405483405, 33.910533910533914, 36.21933621933622, 35.20923520923521, 35.35353535353536, 35.20923520923521, 39.97113997113997, 40.83694083694084, 39.39393939393939, 39.39393939393939], 'val_f1': [0.11361527216642542, 0.14482595126172593, 0.18423011756820776, 0.17868143282032461, 0.20095166257386154, 0.2205685161491987, 0.22609895820013445, 0.21883033611137545, 0.239203491053742, 0.26303119022067656, 0.2768964174778688, 0.28279422829552425, 0.30407553641005935, 0.3047105447188453, 0.29776516113425067, 0.28841918044539216, 0.33378542450157717, 0.34253989843048727, 0.3179771594312005, 0.3165399304644349]}"
5,['subject105' 'subject108'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], 'val_subjects': array(['subject102', 'subject104'], dtype='<U10'), 'noise_scale': [5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0], 'achieved_epsilon': [np.float64(0.108), np.float64(0.151), np.float64(0.185), np.float64(0.214), np.float64(0.24), np.float64(0.263), np.float64(0.285), np.float64(0.305), np.float64(0.324), np.float64(0.343), np.float64(0.36), np.float64(0.377), np.float64(0.393), np.float64(0.408), np.float64(0.424), np.float64(0.438), np.float64(0.452), np.float64(0.466), np.float64(0.48), np.float64(0.493)], 'train_loss': [9.134717221373128, 7.311669373031308, 6.071418162091712, 5.079879237992236, 4.469042975970577, 4.221644425392151, 3.6890232977157646, 3.5172650586143193, 3.1967666075315213, 3.0918236931005474, 3.0269933024926368, 2.7815108527599928, 3.0683646338080672, 2.915647689583739, 2.837127031927759, 2.7962775758490808, 2.6894284213669937, 2.7367282620083526, 2.7430326698220986, 2.664625794408023], 'train_acc': [12.761506276150628, 15.201729106628243, 17.429193899782135, 21.320495185694636, 28.31016825164594, 30.70921985815603, 35.98615916955017, 37.93876026885736, 43.70161857846587, 44.31057563587684, 45.91836734693877, 47.67605633802817, 48.44765342960289, 49.03846153846154, 49.36079545454545, 51.048492791612055, 53.82993675333802, 55.28089887640449, 53.26842837273992, 55.9774964838256], 'val_loss': [9.724261890758168, 8.664645156187474, 7.758877140857795, 7.176502489170193, 5.6558345745505925, 5.568375608814296, 5.17965026788181, 4.659219723705359, 4.698926380887284, 4.133281997618552, 3.9938739462170543, 4.301288411931073, 3.997234825201565, 3.7414183086100232, 3.5776537072868813, 3.269819108569638, 3.4612953067634615, 3.508177295953965, 3.36920170415208, 3.446993466795219], 'val_acc': [13.568521031207599, 14.382632293080054, 16.146540027137043, 16.689280868385346, 19.53867028493894, 19.94572591587517, 22.116689280868385, 24.830393487109905, 24.830393487109905, 29.03663500678426, 32.021709633649934, 28.765264586160107, 32.70013568521031, 37.17774762550882, 39.348710990502035, 41.51967435549525, 42.60515603799186, 42.87652645861601, 44.776119402985074, 44.097693351424695], 'val_f1': [0.10898367892449223, 0.12704717760623385, 0.14857967618614187, 0.1559495637242641, 0.18287158019022343, 0.19424875610273332, 0.20748363489962934, 0.2354466897392249, 0.2472887280320705, 0.2775081316107275, 0.3006962332145071, 0.29085029494116976, 0.31250904351250836, 0.3504884235269944, 0.36967109618399785, 0.385233831919057, 0.3965693572211687, 0.40206575548034595, 0.4281782132804757, 0.42143841210299243]}"
6,['subject103' 'subject106'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], 'val_subjects': array(['subject104', 'subject105'], dtype='<U10'), 'noise_scale': [5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0], 'achieved_epsilon': [np.float64(0.107), np.float64(0.149), np.float64(0.183), np.float64(0.211), np.float64(0.237), np.float64(0.26), np.float64(0.281), np.float64(0.301), np.float64(0.32), np.float64(0.338), np.float64(0.356), np.float64(0.372), np.float64(0.388), np.float64(0.404), np.float64(0.418), np.float64(0.433), np.float64(0.447), np.float64(0.461), np.float64(0.474), np.float64(0.487)], 'train_loss': [9.4191228819106, 7.88525369207175, 6.985767299449135, 6.428824682268947, 5.621307719398189, 5.665675706298727, 5.063679252657274, 5.232485552573799, 4.5616946753122125, 4.602524265060275, 4.308737051038063, 4.7234169412119265, 4.165998333723525, 4.1947703942361025, 4.235796287870545, 4.240108488949862, 4.358267896709858, 4.187328144443609, 4.1023498536811935, 4.427319887068639], 'train_acc': [13.224368499257057, 17.479108635097493, 20.19099590723056, 22.857142857142858, 25.405405405405407, 28.289473684210527, 30.470500373412996, 30.332409972299168, 36.39479095270733, 35.43307086614173, 40.86471408647141, 39.587491683300065, 42.910170749814405, 41.43059490084986, 40.4178674351585, 41.67272727272727, 38.93183415319747, 42.422096317280456, 42.013888888888886, 39.76073187895848], 'val_loss': [9.75787385860972, 8.478040262635592, 7.946285657253753, 7.363245466034634, 7.102110650946924, 6.435133460392701, 6.314792699801007, 5.6881543790989255, 6.101471386879964, 6.220544877957207, 6.115694683942628, 5.701886069245165, 5.5559202055590955, 5.72250840095941, 5.69216610830212, 5.6246401464634275, 5.659066279194397, 5.484359443428378, 5.544125226432831, 5.27015458526714], 'val_acc': [15.208613728129206, 16.689098250336475, 18.57335127860027, 20.861372812920592, 22.476446837146703, 24.226110363391655, 26.244952893674295, 27.994616419919247, 28.532974427994617, 31.628532974427994, 32.43606998654105, 34.58950201884253, 35.66621803499327, 35.1278600269179, 34.72409152086137, 35.39703903095558, 34.85868102288021, 34.05114401076716, 34.85868102288021, 35.39703903095558], 'val_f1': [0.1386356020632786, 0.15569238752194817, 0.17245563770056654, 0.18987202600020864, 0.20031336952539386, 0.22078736291291934, 0.24514418435945826, 0.25783468657445574, 0.26155801826247616, 0.2869766412152476, 0.2895657566441375, 0.31449616778300005, 0.32027694017563624, 0.3175050876599806, 0.3152525248657275, 0.3242383047919223, 0.31665027567587706, 0.3106570343638403, 0.3212055212350939, 0.3210789439856886]}"
7,['subject103' 'subject106'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], 'val_subjects': array(['subject102', 'subject107'], dtype='<U10'), 'noise_scale': [5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0], 'achieved_epsilon': [np.float64(0.105), np.float64(0.148), np.float64(0.181), np.float64(0.209), np.float64(0.234), np.float64(0.257), np.float64(0.278), np.float64(0.298), np.float64(0.317), np.float64(0.335), np.float64(0.352), np.float64(0.368), np.float64(0.384), np.float64(0.399), np.float64(0.414), np.float64(0.428), np.float64(0.442), np.float64(0.455), np.float64(0.468), np.float64(0.481)], 'train_loss': [10.086223567256788, 8.17139644971147, 7.037074968871043, 6.011640949473197, 5.065689885583004, 4.754272228918318, 4.29826712267971, 4.077725263335021, 3.756769713623865, 3.7692845546119953, 3.366622046945484, 3.0643642246723175, 2.824770066030836, 2.932719416223411, 2.9408119140286706, 2.8012013299172622, 2.9327601027389507, 2.843542926854911, 2.6454635183977824, 2.768584974372102], 'train_acc': [14.02805611222445, 18.607856650585802, 21.885521885521886, 23.756906077348066, 28.910614525139664, 31.245698554714384, 33.310673011556766, 36.27187079407806, 38.560760353021045, 40.4356705241661, 44.35146443514645, 48.646907216494846, 50.163719711853304, 49.89816700610998, 48.72325741890959, 49.43582510578279, 51.24826629680999, 49.41820670773443, 53.965053763440864, 53.164556962025316], 'val_loss': [9.736761665606236, 9.101198925421787, 7.6256908643376695, 6.6579827057136285, 5.960798059109148, 5.489905213589196, 5.236269123361006, 4.632131049706304, 4.78008383766308, 4.158667712482614, 3.927486079601714, 3.8213739657140042, 3.7699508345634727, 3.7851583625670973, 3.785238100686571, 3.728093064912073, 3.572456090250513, 3.502143944071217, 3.5584025593822473, 3.5875379875466065], 'val_acc': [16.208791208791208, 18.956043956043956, 23.076923076923077, 24.03846153846154, 28.15934065934066, 28.296703296703296, 32.417582417582416, 35.43956043956044, 38.324175824175825, 40.934065934065934, 42.857142857142854, 42.44505494505494, 45.32967032967033, 46.97802197802198, 46.565934065934066, 47.252747252747255, 48.62637362637363, 48.62637362637363, 49.03846153846154, 48.489010989010985], 'val_f1': [0.11136191671794828, 0.13353714319627746, 0.17669381606322626, 0.18884919467324912, 0.226948722397247, 0.24068061801057036, 0.2582807468605238, 0.2809034184305137, 0.2949925216630763, 0.3303729699634811, 0.359044411804385, 0.367711009487391, 0.38256792574471377, 0.3986724972836461, 0.39658395876509367, 0.4094333679339523, 0.4125932145204635, 0.41993334332025156, 0.4276797189100253, 0.42925378534633596]}"
8,['subject103' 'subject106'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], 'val_subjects': array(['subject101', 'subject108'], dtype='<U10'), 'noise_scale': [5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0], 'achieved_epsilon': [np.float64(0.105), np.float64(0.148), np.float64(0.181), np.float64(0.209), np.float64(0.234), np.float64(0.257), np.float64(0.278), np.float64(0.298), np.float64(0.317), np.float64(0.335), np.float64(0.352), np.float64(0.368), np.float64(0.384), np.float64(0.399), np.float64(0.414), np.float64(0.428), np.float64(0.442), np.float64(0.455), np.float64(0.468), np.float64(0.481)], 'train_loss': [10.157579373617704, 9.41178848824078, 8.408552127265034, 7.426901466601059, 7.0552353074279015, 5.867409717341, 5.763201839618617, 4.928221835013056, 4.373069393756853, 4.07359674855109, 3.881577415029656, 3.4763931944057838, 3.5090538040896884, 3.2169608790643753, 3.1180864541217534, 3.0732733079891528, 2.832667447896819, 2.7472851277231918, 2.6182569670543243, 2.464979607383918], 'train_acc': [14.522546419098143, 17.740906190172304, 20.523138832997986, 23.85821404226312, 23.51765489673551, 25.928381962864723, 27.750865051903116, 30.531845042678924, 32.62798634812287, 35.245335176226675, 38.42070338420704, 39.45339873861247, 40.461215932914044, 42.83870967741935, 44.30976430976431, 44.241573033707866, 47.60362694300518, 49.6850944716585, 51.61516853932584, 52.85810356422327], 'val_loss': [9.263701607713578, 8.62956508628404, 6.745270184468483, 6.502461415588099, 6.057808521268062, 5.346224572998176, 4.955222416495739, 4.856329686214624, 4.1756244216045975, 4.177830484084922, 3.98265065355765, 3.7988375618486376, 3.5956244498533323, 3.4219234770292624, 3.487618420078657, 3.2410902285315255, 3.26423588695664, 3.0743789950251705, 3.1411541109465912, 2.8444805769893446], 'val_acc': [9.16784203102962, 10.01410437235543, 15.3737658674189, 19.88716502115656, 22.425952045133993, 25.952045133991536, 28.208744710860366, 29.478138222849083, 34.132581100141046, 35.26093088857546, 38.645980253878705, 40.479548660084625, 43.01833568406206, 42.45416078984485, 45.9802538787024, 46.685472496473906, 46.121297602256696, 48.09590973201693, 47.249647390691116, 50.49365303244006], 'val_f1': [0.07512445652261243, 0.08347963435831804, 0.1285039762169555, 0.16033342023896358, 0.17451936067671087, 0.2080452176842894, 0.2397838636934831, 0.2452824160433418, 0.2951324648581878, 0.2917237317620958, 0.3253799959341891, 0.34950729453394425, 0.3764109923769601, 0.3754730458796546, 0.400862742309405, 0.416079528866221, 0.406136587267368, 0.42895940690101797, 0.418568902552264, 0.45242284919462206]}"
9,['subject101' 'subject104'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], 'val_subjects': array(['subject102', 'subject105'], dtype='<U10'), 'noise_scale': [5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0], 'achieved_epsilon': [np.float64(0.107), np.float64(0.149), np.float64(0.183), np.float64(0.211), np.float64(0.237), np.float64(0.26), np.float64(0.281), np.float64(0.301), np.float64(0.32), np.float64(0.338), np.float64(0.356), np.float64(0.372), np.float64(0.388), np.float64(0.404), np.float64(0.418), np.float64(0.433), np.float64(0.447), np.float64(0.461), np.float64(0.474), np.float64(0.487)], 'train_loss': [7.037162919047827, 6.415802852617324, 5.531055631135639, 5.159719250481161, 4.994138666322823, 4.303038044859945, 3.9003166738591855, 3.628613669209823, 3.5312558708891357, 3.611153584234285, 3.5835444373313825, 3.1368491119900157, 3.2718084351390813, 3.3225769899703645, 3.0295576817137144, 2.767191595221339, 2.878924364444564, 2.7030509220284906, 2.690596706836695, 2.7991678764902312], 'train_acc': [20.195667365478688, 21.67247386759582, 23.36842105263158, 25.843503230437904, 25.73632538569425, 34.151329243353786, 39.651416122004356, 44.35825105782793, 43.50282485875706, 46.57243816254417, 45.81529581529581, 49.758120248790604, 48.43971631205674, 49.23076923076923, 51.738525730180804, 51.515151515151516, 50.76252723311547, 53.431372549019606, 52.48933143669986, 52.827586206896555], 'val_loss': [9.051583183572648, 9.179430824645022, 8.545844869410738, 8.76859757748056, 7.799289617132633, 7.016096526003898, 6.047385859996714, 5.606064948629825, 5.596157281956774, 5.614743466072894, 5.433459971813446, 5.106393502113667, 5.514717246623749, 4.631372126493048, 4.610127733108845, 4.403658764159426, 4.404246649843581, 5.1298230861095675, 4.75569461761637, 4.110260045274775], 'val_acc': [18.085106382978722, 19.01595744680851, 19.414893617021278, 21.27659574468085, 21.143617021276597, 24.867021276595743, 31.117021276595743, 32.4468085106383, 36.3031914893617, 36.96808510638298, 34.441489361702125, 41.48936170212766, 40.691489361702125, 43.351063829787236, 44.81382978723404, 45.611702127659576, 45.611702127659576, 36.96808510638298, 38.03191489361702, 42.02127659574468], 'val_f1': [0.1446993633411469, 0.15481805941956953, 0.1597931106616376, 0.1813907072116167, 0.17747699193594613, 0.22983377753243173, 0.28740149729127595, 0.2986662956135667, 0.32021684085585295, 0.3219588325733076, 0.3083311381417173, 0.3611538538007446, 0.35170490607470406, 0.36980548399965796, 0.37981369371268076, 0.40030725334780376, 0.40621819802055387, 0.3516342209296587, 0.36528627787528783, 0.3933051054017696]}"
