,Test Subjects,Batch_Size,Learning_Rate,Epoch_Results
0,['subject102' 'subject107'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], 'val_subjects': array(['subject104', 'subject105'], dtype='<U10'), 'noise_scale': [5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0], 'achieved_epsilon': [np.float64(0.107), np.float64(0.149), np.float64(0.183), np.float64(0.211), np.float64(0.237), np.float64(0.26), np.float64(0.281), np.float64(0.301), np.float64(0.32), np.float64(0.338), np.float64(0.356), np.float64(0.372), np.float64(0.388), np.float64(0.404), np.float64(0.418), np.float64(0.433), np.float64(0.447), np.float64(0.461), np.float64(0.474), np.float64(0.487)], 'train_loss': [3.8694106357389706, 2.663423201923287, 2.0669835287591685, 1.9062154949296575, 1.7679896654689764, 1.7476676535275248, 1.6429779935496147, 1.6301293752679777, 1.6143514535448573, 1.5289713843912442, 1.4948520829826049, 1.4774687545464804, 1.4255139839752262, 1.439096326807479, 1.4919524666928259, 1.3728430532113172, 1.46292784348098, 1.506043463862834, 1.4499076953181973, 1.4215682564384826], 'train_acc': [15.527065527065528, 24.745269286754002, 21.097647897362794, 21.1781206171108, 36.525612472160354, 32.638888888888886, 39.680333564975676, 41.36460554371002, 40.690690690690694, 46.15958240119314, 52.82051282051282, 50.03431708991078, 50.720461095100866, 50.78909612625538, 46.82822523164647, 48.02680565897245, 46.431146359048306, 45.22160664819945, 49.78354978354978, 49.47880472550382], 'val_loss': [2.960654563570087, 2.3359787608540716, 1.9829231851996194, 1.961783250279895, 1.8739152179271343, 1.7254810809768224, 1.690594939171546, 1.6851536991779128, 1.6693972203163567, 1.597577101609909, 1.655430339226652, 1.5416721033376126, 1.5642596321182969, 1.5584775867243956, 1.4738261948363456, 1.5219602894494222, 1.5983711949588473, 1.5842438970728807, 1.5337394354000067, 1.5223830639914901], 'val_acc': [18.16958277254374, 21.80349932705249, 18.842530282637956, 22.476446837146703, 31.76312247644684, 37.81965006729475, 42.395693135935396, 42.53028263795424, 34.99327052489906, 45.76043068640646, 38.627187079407804, 47.91386271870794, 44.279946164199195, 42.934051144010766, 46.8371467025572, 44.279946164199195, 43.337819650067296, 41.857335127860026, 44.818304172274566, 45.356662180349936], 'val_f1': [0.12715654666437748, 0.14784800918124247, 0.14117673931180894, 0.14547616740028116, 0.19440521439411113, 0.23994547886506862, 0.27560697073818874, 0.26071461958326125, 0.30082254861674784, 0.3165352264706217, 0.32648789958725055, 0.33266515340036784, 0.33077716050057304, 0.2894634175457761, 0.32687232636123076, 0.30466811569784874, 0.2630013424246339, 0.27442857434496953, 0.30200299585578166, 0.3057824219230165]}"
1,['subject102' 'subject107'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], 'val_subjects': array(['subject103', 'subject106'], dtype='<U10'), 'noise_scale': [5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0], 'achieved_epsilon': [np.float64(0.105), np.float64(0.148), np.float64(0.181), np.float64(0.209), np.float64(0.234), np.float64(0.257), np.float64(0.278), np.float64(0.298), np.float64(0.317), np.float64(0.335), np.float64(0.352), np.float64(0.368), np.float64(0.384), np.float64(0.399), np.float64(0.414), np.float64(0.428), np.float64(0.442), np.float64(0.455), np.float64(0.468), np.float64(0.481)], 'train_loss': [7.789649384680673, 3.4646453488018256, 2.2317821018403095, 2.0587757662373662, 1.9474875376640748, 1.8850114475922966, 1.8123613296645422, 1.8115845986444312, 1.8561852861086081, 1.7706946372669425, 1.7491617181339014, 1.7226620474519168, 1.6697587122486044, 1.7142111814363592, 1.5865611788342353, 1.6183725860474374, 1.6504878053746153, 1.6643358751499793, 1.508822456082349, 1.51304449661367], 'train_acc': [11.281708945260347, 12.719891745602165, 11.213626685592619, 19.484046164290564, 25.785244704163624, 26.657552973342447, 27.35166425470333, 25.866851595006935, 27.629733520336607, 32.91307232913072, 32.41188666205943, 36.105188343994314, 37.661454792658056, 32.33287858117326, 42.42424242424242, 44.11764705882353, 40.83510261854211, 41.20917303683113, 45.49731182795699, 44.92652204338698], 'val_loss': [4.48647755696379, 2.48969794432547, 2.0772912593339763, 1.9118825558051362, 1.8603270359052795, 1.8997862586880674, 1.8279895554843346, 1.8358657402230119, 1.8144935833176932, 1.7313789783475086, 1.8945003272451808, 1.7727737855034469, 1.6871982677991184, 1.713903957158538, 1.6926546385129742, 1.6634250670207777, 1.6759997405628166, 1.6122433614865725, 1.5900962855218999, 1.6209850780866102], 'val_acc': [4.809052333804809, 16.831683168316832, 18.246110325318245, 27.581329561527582, 29.27864214992928, 24.46958981612447, 25.6011315417256, 26.30834512022631, 30.55162659123055, 33.663366336633665, 28.005657708628007, 32.67326732673267, 34.22913719943423, 31.258840169731258, 46.39321074964639, 45.82743988684583, 41.86704384724187, 40.02828854314003, 44.837340876944836, 37.05799151343706], 'val_f1': [0.05434163419901328, 0.05219640201850332, 0.1128033870234644, 0.15199409280881881, 0.1985585752053001, 0.20499652134406038, 0.23848906321622768, 0.2609784586629209, 0.2509120771684685, 0.2995421227322943, 0.18088946354333124, 0.23782457134376528, 0.23503347358271423, 0.2038681069113631, 0.343053983455033, 0.2995919111145324, 0.2996621177149879, 0.29775957602724057, 0.2923088950051629, 0.26081770632062334]}"
2,['subject102' 'subject107'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], 'val_subjects': array(['subject101', 'subject108'], dtype='<U10'), 'noise_scale': [5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0], 'achieved_epsilon': [np.float64(0.105), np.float64(0.148), np.float64(0.181), np.float64(0.209), np.float64(0.234), np.float64(0.257), np.float64(0.278), np.float64(0.298), np.float64(0.317), np.float64(0.335), np.float64(0.352), np.float64(0.368), np.float64(0.384), np.float64(0.399), np.float64(0.414), np.float64(0.428), np.float64(0.442), np.float64(0.455), np.float64(0.468), np.float64(0.481)], 'train_loss': [5.9594430549977035, 3.0826387695070743, 2.4042959870373615, 2.0232936185919894, 2.03244088717194, 1.9101252798250459, 1.8860812222041863, 1.8696419006497988, 1.7410273511585708, 1.6965792461010354, 1.6611537610014824, 1.6729083212249, 1.6373570463057094, 1.5288778906648688, 1.7031747688076453, 1.6183711214723258, 1.568351442935103, 1.5119531734817837, 1.5125489396102128, 1.5310564058249077], 'train_acc': [13.774476704929102, 19.327731092436974, 20.01366120218579, 22.752420470262795, 23.661599471249176, 29.45682451253482, 26.036709721278044, 27.938071780436314, 33.31076506431957, 37.03190013869626, 36.50684931506849, 36.99186991869919, 39.26031294452347, 42.59520451339915, 40.05322687957418, 40.96551724137931, 42.03389830508475, 43.76750700280112, 42.521227955584585, 42.925495557074505], 'val_loss': [4.344467461865779, 2.811725522634509, 2.3518330753269923, 2.1112622639692384, 2.078117101669984, 2.025876123074584, 2.0635058713396446, 1.9879772167111653, 2.0296224089200137, 1.83082017037697, 2.081261669462928, 2.058466040995629, 2.0470838523634063, 2.2232154127005463, 2.0687826881119493, 2.004184379711306, 1.9666984202116937, 1.9300750401317652, 1.9273625082731751, 1.924508499420328], 'val_acc': [4.795486600846262, 14.668547249647391, 10.860366713681241, 23.695345557122707, 21.720733427362482, 22.566995768688294, 24.259520451339917, 23.2722143864598, 28.49083215796897, 34.132581100141046, 25.952045133991536, 36.38928067700987, 36.95345557122708, 30.465444287729195, 33.85049365303244, 37.79971791255289, 38.5049365303244, 37.37658674188999, 37.23554301833568, 37.65867418899859], 'val_f1': [0.03139928817165301, 0.06835372970326342, 0.05784146570109447, 0.12620056240097222, 0.13796176809970248, 0.13185528023211734, 0.14685233660753388, 0.17109933108589379, 0.19270394196870433, 0.24244309219249077, 0.15908882549313094, 0.26874032332139086, 0.24781345029278778, 0.21815938556051478, 0.2506867232295378, 0.2809921257794969, 0.28200124734023035, 0.27764487325413423, 0.27596094342635846, 0.2792199981892942]}"
3,['subject105' 'subject108'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], 'val_subjects': array(['subject106', 'subject107'], dtype='<U10'), 'noise_scale': [5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0], 'achieved_epsilon': [np.float64(0.107), np.float64(0.149), np.float64(0.183), np.float64(0.211), np.float64(0.237), np.float64(0.26), np.float64(0.281), np.float64(0.301), np.float64(0.32), np.float64(0.338), np.float64(0.356), np.float64(0.372), np.float64(0.388), np.float64(0.404), np.float64(0.418), np.float64(0.433), np.float64(0.447), np.float64(0.461), np.float64(0.474), np.float64(0.487)], 'train_loss': [4.955865544596995, 3.3930879512280328, 2.2248391796773035, 2.061235702793363, 1.9880709647317496, 1.9822802453947785, 1.950985654168481, 1.8734630982356089, 1.7802322220750515, 1.7396783051176816, 1.7144079893156507, 1.7658365073434092, 1.7537690979113683, 1.6246633226177114, 1.601534191727892, 1.6564422845840454, 1.6651142186374623, 1.6599004881459114, 1.670822529142091, 1.6131402901981189], 'train_acc': [15.819613457408733, 22.92950034223135, 27.23342939481268, 32.25352112676056, 37.25222146274778, 32.69493844049248, 33.624161073825505, 36.608996539792386, 39.102099927588704, 41.838134430727024, 45.60639070442992, 42.03216374269006, 43.52517985611511, 44.60285132382892, 47.5514549325763, 45.493562231759654, 45.18622628250176, 47.257383966244724, 49.68017057569296, 54.20289855072464], 'val_loss': [4.133410532601407, 2.6688950171991555, 1.9275328608788027, 2.1102689517980195, 1.945992938610686, 1.953593196655188, 1.8882515932999404, 1.7596470663527481, 1.685160888343298, 1.7455707725857486, 1.7827668256786358, 1.6539973903770875, 1.632118535809824, 1.582712627509061, 1.6135639439777834, 1.7172461814907085, 1.6014902257785744, 1.6865516550400679, 1.6375376330036409, 1.5911593901343037], 'val_acc': [13.865546218487395, 23.529411764705884, 34.173669467787114, 37.39495798319328, 38.23529411764706, 34.03361344537815, 40.33613445378151, 40.7563025210084, 42.71708683473389, 41.036414565826334, 35.85434173669468, 41.45658263305322, 43.27731092436975, 45.65826330532213, 44.95798319327731, 37.254901960784316, 47.19887955182073, 38.79551820728291, 44.95798319327731, 52.52100840336134], 'val_f1': [0.06743744697027591, 0.10603264523503264, 0.17628870339829245, 0.1960980162266927, 0.18893588033326136, 0.16728393899716154, 0.27836847272489895, 0.24916553179736314, 0.2864721884813002, 0.2822060497218867, 0.21799425176397916, 0.2991015526084633, 0.267915259375343, 0.32554953103836853, 0.33406840927684295, 0.2925221878353894, 0.35070277970547525, 0.3262819805270585, 0.3680650156060461, 0.40793513541048504]}"
4,['subject105' 'subject108'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], 'val_subjects': array(['subject101', 'subject103'], dtype='<U10'), 'noise_scale': [5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0], 'achieved_epsilon': [np.float64(0.105), np.float64(0.148), np.float64(0.181), np.float64(0.209), np.float64(0.234), np.float64(0.257), np.float64(0.278), np.float64(0.298), np.float64(0.317), np.float64(0.335), np.float64(0.352), np.float64(0.368), np.float64(0.384), np.float64(0.399), np.float64(0.414), np.float64(0.428), np.float64(0.442), np.float64(0.455), np.float64(0.468), np.float64(0.481)], 'train_loss': [6.267424968388839, 2.8870576020413647, 1.9885906182452833, 1.9137200235498362, 1.8723469770070418, 1.754010559150151, 1.7729730658312146, 1.7215009959312175, 1.755388758666761, 1.7656766959200862, 1.7073432176562227, 1.5007561570122128, 1.6552018851869637, 1.5266006586942387, 1.573750280451497, 1.4310075594009934, 1.5130188589329485, 1.5977728757980716, 1.5643139735083522, 1.7104266785686801], 'train_acc': [16.69054441260745, 23.964697895451458, 27.17983651226158, 31.24137931034483, 31.9001386962552, 37.857142857142854, 38.303886925795055, 37.13509843856076, 36.03667136812412, 40.44016506189821, 38.1578947368421, 47.95918367346939, 43.81944444444444, 46.82274247491639, 44.48252227553119, 50.0, 49.23076923076923, 44.650499286733236, 45.83041345480028, 43.40924775707384], 'val_loss': [3.569012420690077, 2.0759536752969154, 1.9383954985489233, 1.948021212525526, 1.9023299292912559, 1.7671385070290229, 1.715572850872772, 1.728945594888401, 1.7756316505727314, 1.8022102823247126, 1.6789044416139995, 1.6795560677158197, 1.5759341641938016, 1.698783626202037, 1.559064881368117, 1.668846295423494, 1.5494350276640139, 1.5640603656548615, 1.8129436231364764, 1.722208670078418], 'val_acc': [20.634920634920636, 22.22222222222222, 35.93073593073593, 20.057720057720058, 34.1991341991342, 35.064935064935064, 34.92063492063492, 36.36363636363637, 40.115440115440116, 43.57864357864358, 44.877344877344875, 40.692640692640694, 42.27994227994228, 39.682539682539684, 43.722943722943725, 41.41414141414141, 45.45454545454545, 45.887445887445885, 41.125541125541126, 44.15584415584416], 'val_f1': [0.14219230261789143, 0.11742196082692156, 0.22334306664765768, 0.11435731961011976, 0.20761143858381453, 0.23309730022555605, 0.22897620249997405, 0.24897131616633578, 0.25879147830488347, 0.29672885093093526, 0.3358487458657788, 0.26283378745240416, 0.29230624978496356, 0.25343687548614224, 0.313709305482296, 0.2945449025437554, 0.33934782997613483, 0.3222427933833676, 0.28725047938388554, 0.2852778523458494]}"
5,['subject105' 'subject108'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], 'val_subjects': array(['subject102', 'subject104'], dtype='<U10'), 'noise_scale': [5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0], 'achieved_epsilon': [np.float64(0.108), np.float64(0.151), np.float64(0.185), np.float64(0.214), np.float64(0.24), np.float64(0.263), np.float64(0.285), np.float64(0.305), np.float64(0.324), np.float64(0.343), np.float64(0.36), np.float64(0.377), np.float64(0.393), np.float64(0.408), np.float64(0.424), np.float64(0.438), np.float64(0.452), np.float64(0.466), np.float64(0.48), np.float64(0.493)], 'train_loss': [9.886264772760985, 3.210204127027253, 2.1975983192544963, 2.0906425444755135, 2.0197022385900705, 1.9361702192759682, 1.8688007897571708, 1.7391448393964875, 1.7716074624923985, 1.799561688858502, 1.6982509855278727, 1.672474500746794, 1.673109840141737, 1.625732334584174, 1.6260186370292848, 1.5897752155170215, 1.5836722408476969, 1.6160397388515402, 1.5751618353315786, 1.5307121763081826], 'train_acc': [9.344490934449093, 11.887608069164266, 17.356572258533042, 24.346629986244842, 27.13972201901975, 32.12765957446808, 34.11764705882353, 33.980582524271846, 36.101337086558765, 36.54618473895582, 40.37900874635569, 37.95774647887324, 40.21660649819495, 41.494082840236686, 41.26420454545455, 43.774574049803405, 46.80252986647927, 44.71910112359551, 46.59248956884562, 50.0], 'val_loss': [4.7015135932001035, 2.3152668074966285, 2.1077055445843182, 1.966479603276971, 1.953166659522089, 1.8752324595703684, 1.740064318500348, 1.823045074373605, 1.6717046644826756, 1.6851712541308461, 1.7246884629231456, 1.5822756152948823, 1.5541239266803177, 1.5413379714479278, 1.5353978351466206, 1.5685751441375857, 1.6042232531220166, 1.436943594442132, 1.444131606307735, 1.6366779170172185], 'val_acc': [11.940298507462687, 14.925373134328359, 16.55359565807327, 26.72998643147897, 31.0719131614654, 26.45861601085482, 41.92672998643148, 30.800542740841248, 38.26322930800543, 44.097693351424695, 35.549525101763905, 35.14246947082768, 40.84124830393487, 43.01221166892809, 43.96200814111262, 48.71099050203528, 44.23337856173677, 48.30393487109905, 52.78154681139756, 48.30393487109905], 'val_f1': [0.06079212622062484, 0.060064731020613375, 0.0634081228920879, 0.20296275483943776, 0.19888698298989108, 0.14870361225334136, 0.224237110629263, 0.15901699342020786, 0.223462388629526, 0.2778624835785998, 0.18780449948824685, 0.2187856872868568, 0.2845320103098964, 0.3335064824806929, 0.32284400167172517, 0.32694654535990375, 0.25749874346348456, 0.3653364988562827, 0.3526637296165209, 0.3095279129030091]}"
6,['subject103' 'subject106'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], 'val_subjects': array(['subject104', 'subject105'], dtype='<U10'), 'noise_scale': [5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0], 'achieved_epsilon': [np.float64(0.107), np.float64(0.149), np.float64(0.183), np.float64(0.211), np.float64(0.237), np.float64(0.26), np.float64(0.281), np.float64(0.301), np.float64(0.32), np.float64(0.338), np.float64(0.356), np.float64(0.372), np.float64(0.388), np.float64(0.404), np.float64(0.418), np.float64(0.433), np.float64(0.447), np.float64(0.461), np.float64(0.474), np.float64(0.487)], 'train_loss': [5.736481036509305, 3.336707445738375, 2.445932257305551, 1.9797171670800717, 1.6888255205508824, 1.7858708345576337, 1.7130503340209038, 1.6334766186670584, 1.6392052029811657, 1.6459779126124745, 1.5309199216143023, 1.5201628869641088, 1.5184313771276892, 1.5343914720053038, 1.544146543706872, 1.5160750612779097, 1.5144013834937893, 1.4855629178687466, 1.49140885811713, 1.4629700287893403], 'train_acc': [16.790490341753344, 19.846796657381617, 25.57980900409277, 30.24390243902439, 41.21621621621622, 37.36842105263158, 44.21209858103062, 46.95290858725762, 45.37354352296093, 43.7007874015748, 47.559274755927476, 48.17032601463739, 46.919079435783225, 45.609065155807365, 44.74063400576369, 46.32727272727273, 47.92691496837667, 48.93767705382436, 48.958333333333336, 50.03518648838846], 'val_loss': [4.007647071840946, 3.19417414033076, 2.3327231660665766, 1.9076217547720888, 1.8788758718470064, 1.7536301195701711, 1.7861676713499375, 1.866511712966344, 1.7623375803432746, 1.7623364302864948, 1.7453620002215193, 1.7411619163297547, 1.7256578251940085, 1.727739411921392, 1.7247455750628404, 1.7159909138288023, 1.710614901371952, 1.7060599752261854, 1.7365164609969383, 1.7115634782477953], 'val_acc': [18.0349932705249, 13.86271870794078, 24.629878869448184, 32.03230148048452, 27.18707940780619, 44.01076716016151, 41.318977119784655, 39.43472409152086, 43.203230148048455, 40.242261103633915, 41.184387617765815, 41.184387617765815, 41.588156123822344, 41.049798115746974, 40.646029609690444, 41.588156123822344, 41.722745625841185, 41.318977119784655, 40.646029609690444, 42.261103633916555], 'val_f1': [0.07755241820177664, 0.09899374491740669, 0.14941257611714448, 0.19712897389162282, 0.18809951841302536, 0.32451114901286504, 0.3107312724003782, 0.26533027738732323, 0.2931060466657034, 0.286416350852822, 0.28915411728489027, 0.28385450274955, 0.28551618833524933, 0.2875284545666192, 0.2852308852231309, 0.29738945692019614, 0.2950232248124056, 0.294168682665017, 0.2855300591085411, 0.293165335946259]}"
7,['subject103' 'subject106'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], 'val_subjects': array(['subject102', 'subject107'], dtype='<U10'), 'noise_scale': [5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0], 'achieved_epsilon': [np.float64(0.105), np.float64(0.148), np.float64(0.181), np.float64(0.209), np.float64(0.234), np.float64(0.257), np.float64(0.278), np.float64(0.298), np.float64(0.317), np.float64(0.335), np.float64(0.352), np.float64(0.368), np.float64(0.384), np.float64(0.399), np.float64(0.414), np.float64(0.428), np.float64(0.442), np.float64(0.455), np.float64(0.468), np.float64(0.481)], 'train_loss': [10.77115532136712, 2.933628531014977, 2.3227567499334163, 2.0051303055569614, 1.9413744658231735, 1.9127813516939745, 1.8215185819557134, 1.7907159756844009, 1.784390615267731, 1.81161314666961, 1.76132552352743, 1.6383397433253908, 1.6376420213415799, 1.763186376594963, 1.661097077849489, 1.571708621948495, 1.6015763015753683, 1.6871875576741233, 1.5977266119212232, 1.58604918300854], 'train_acc': [8.750835003340013, 10.957960027567195, 15.757575757575758, 26.243093922651934, 28.56145251396648, 32.82863041982106, 32.6988443235894, 35.26244952893674, 36.59198913781398, 38.32539142273656, 37.58716875871688, 42.396907216494846, 42.63261296660118, 40.32586558044807, 40.165631469979296, 44.71086036671368, 39.94452149791955, 40.79397672826831, 43.615591397849464, 49.43741209563994], 'val_loss': [3.780005084289299, 2.3535711896288527, 1.965826819231222, 1.9306038369189251, 1.9467108852260715, 1.801097734943851, 1.7615921995142003, 1.8487298580316396, 1.7620885280462413, 1.6211887512888228, 1.6006098140727032, 1.5797157739544962, 1.5989574311853765, 1.7399925989109082, 1.6493379909258623, 1.4959711612580897, 1.5206305433760632, 1.5497202162559216, 1.5977393516472407, 1.5807651661254547], 'val_acc': [20.32967032967033, 10.43956043956044, 23.48901098901099, 25.274725274725274, 34.065934065934066, 35.714285714285715, 33.79120879120879, 30.357142857142858, 34.752747252747255, 51.785714285714285, 41.48351648351648, 48.35164835164835, 50.27472527472528, 28.296703296703296, 44.23076923076923, 45.604395604395606, 42.71978021978022, 45.879120879120876, 46.7032967032967, 56.456043956043956], 'val_f1': [0.09838378948873341, 0.08066681950662183, 0.1952974396176988, 0.14654393675919203, 0.20893307805677802, 0.28318538974509067, 0.25560942173520623, 0.21696386152881347, 0.25790322314397607, 0.37163755441866353, 0.3106889207408492, 0.323490912536475, 0.3155149073171678, 0.20847142774375504, 0.312799096044742, 0.34668891447465766, 0.3117492405167823, 0.3255506430533127, 0.30480826128854166, 0.40177485538254837]}"
8,['subject103' 'subject106'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], 'val_subjects': array(['subject101', 'subject108'], dtype='<U10'), 'noise_scale': [5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0], 'achieved_epsilon': [np.float64(0.105), np.float64(0.148), np.float64(0.181), np.float64(0.209), np.float64(0.234), np.float64(0.257), np.float64(0.278), np.float64(0.298), np.float64(0.317), np.float64(0.335), np.float64(0.352), np.float64(0.368), np.float64(0.384), np.float64(0.399), np.float64(0.414), np.float64(0.428)], 'train_loss': [5.794193566477899, 2.335048719736597, 1.7352950750462246, 1.6234908069813423, 1.6672018785463978, 1.643407837149319, 1.5626389893693495, 1.5269063859101744, 1.5534601908901853, 1.458768929830484, 1.3970810659452235, 1.4167967931992036, 1.5230320687897134, 1.4796675879724563, 1.3618469560989226, 1.4001971114050136], 'train_acc': [29.70822281167109, 32.929164007657945, 38.564721663313215, 36.74164962508521, 42.77148567621585, 45.02652519893899, 46.98961937716263, 46.881155613919894, 42.389078498293514, 47.68486523842433, 52.222959522229594, 51.99719691660827, 47.51921733053808, 48.516129032258064, 52.794612794612796, 52.949438202247194], 'val_loss': [3.8658615206125257, 2.104500682464944, 1.8043668431522817, 1.7097361318147064, 1.9545669461507218, 1.577896635690428, 1.8019138955851368, 1.7270323304598691, 1.6619252240119766, 1.6512675255074656, 1.6544930866810432, 1.6942980728297374, 1.7308379845071074, 1.6875335502691766, 1.688360227684376, 1.6908924479158371], 'val_acc': [21.57968970380818, 23.97743300423131, 32.86318758815233, 41.46685472496474, 34.41466854724965, 44.851904090267986, 44.14668547249647, 43.58251057827927, 39.91537376586742, 45.55712270803949, 45.839210155148095, 44.99294781382228, 45.69816643159379, 45.41607898448519, 45.41607898448519, 45.27503526093089], 'val_f1': [0.10580034713782663, 0.15520075713962278, 0.24144350688041458, 0.2691036943056895, 0.23065520879796458, 0.3124530130790526, 0.28228103633040996, 0.27932633750800245, 0.26443659602929903, 0.33044841375494993, 0.3313213096914437, 0.3235494531697589, 0.320178313119426, 0.32717513839262796, 0.32682905124252304, 0.32444063019141856]}"
9,['subject101' 'subject104'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], 'val_subjects': array(['subject102', 'subject105'], dtype='<U10'), 'noise_scale': [5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0], 'achieved_epsilon': [np.float64(0.107), np.float64(0.149), np.float64(0.183), np.float64(0.211), np.float64(0.237), np.float64(0.26), np.float64(0.281), np.float64(0.301), np.float64(0.32), np.float64(0.338), np.float64(0.356), np.float64(0.372), np.float64(0.388), np.float64(0.404), np.float64(0.418), np.float64(0.433), np.float64(0.447), np.float64(0.461), np.float64(0.474), np.float64(0.487)], 'train_loss': [6.25540185843734, 2.844687695099475, 2.1446791069894444, 1.9457883599092085, 1.984083418238197, 1.8504984552074375, 1.8607692139629475, 1.8395544400728772, 1.7267434219717133, 1.8061863853983635, 1.7718959594962318, 1.844500053188987, 1.8722283082259328, 1.7773207964544946, 1.7018145219842338, 1.669057941889461, 1.6514695798707701, 1.5966145661142137, 1.6488788227516962, 1.6280658372750518], 'train_acc': [18.638239339752406, 27.571728481455562, 26.680244399185337, 33.68490441661174, 34.9002849002849, 36.78720445062587, 39.43758573388203, 35.44395924308588, 38.83357041251778, 37.159920371599206, 37.82576321667908, 36.6643209007741, 35.36842105263158, 37.99715909090909, 37.54461099214846, 37.271448663853725, 37.69017980636238, 42.148148148148145, 41.991643454039, 41.205673758865245], 'val_loss': [3.2846958180691335, 2.484414538170429, 2.148365312434257, 2.229731501416957, 2.021215164915044, 1.980939639375565, 1.9548266923173945, 1.907677077232523, 1.8492576315047893, 1.9036697808732377, 1.9161827437421108, 1.9109019218607153, 1.908192588927898, 1.8356887476241335, 1.8016300810144303, 1.7452995422038626, 1.7294306032201077, 1.7274284261338255, 1.7455147821852501, 1.7337689133400613], 'val_acc': [23.93617021276596, 27.79255319148936, 20.74468085106383, 27.393617021276597, 29.122340425531913, 38.03191489361702, 37.765957446808514, 34.441489361702125, 34.70744680851064, 33.37765957446808, 34.308510638297875, 39.76063829787234, 37.63297872340426, 39.8936170212766, 38.962765957446805, 40.42553191489362, 40.95744680851064, 41.888297872340424, 42.02127659574468, 43.75], 'val_f1': [0.09823846828155827, 0.13537064743754867, 0.10058929764925936, 0.17472160755629315, 0.1934857743245651, 0.22793271633147263, 0.2503426901516885, 0.1934984092299311, 0.21192989713940463, 0.1480347892718313, 0.17765256679140812, 0.245200579652708, 0.21274489026126223, 0.23305475713097393, 0.22341049076330616, 0.24395018847873567, 0.254673867242607, 0.2523462147095715, 0.24518644522954186, 0.2664564172102106]}"
