,Test_Subjects,Test_Losses,Best_Val_Losses,Best_Train_Losses,Test_Accuracies,Best_Val_Accuracies,Best_Train_Accuracies,Test_F1s,Best_Val_F1s,Best_Val_Epochs,Batch_Size,Learning_Rate
0,['subject102' 'subject107'],1.0851533720781514,1.2356745502027817,1.2947289395298898,61.12637362637363,56.39300134589502,53.71669004207573,0.4768137525191182,0.4443676184958696,4,32,0.001
1,['subject102' 'subject107'],1.1143860357025495,1.1771796592307058,1.2379537955231024,63.5989010989011,65.62942008486563,64.05919661733616,0.502294937639297,0.5292511391501713,9,32,0.001
2,['subject102' 'subject107'],0.9648955691974241,1.3090904818372262,1.1592052135984976,67.71978021978022,61.636107193229904,63.18681318681319,0.5715825859148045,0.5132278376777172,7,32,0.001
3,['subject105' 'subject108'],1.489501881858141,1.1578376036481697,1.1491636420027507,52.2207267833109,60.08403361344538,60.48502139800285,0.37791324437543994,0.47603618606823284,5,32,0.001
4,['subject105' 'subject108'],1.4255635392216621,1.3870407935731854,1.275900032873014,45.895020188425306,49.63924963924964,57.152826238660154,0.35728284682793293,0.4278615625191189,4,32,0.001
5,['subject105' 'subject108'],1.3200142087725406,0.9748947610686883,1.0637583474708305,53.1628532974428,70.5563093622795,67.18092566619916,0.41853117887226676,0.5876072018312177,9,32,0.001
6,['subject103' 'subject106'],1.4110426938179697,1.3447160263562106,1.2334627585155973,49.78783592644979,53.70121130551817,59.67078189300412,0.4127499468146776,0.4688867873097333,7,32,0.001
7,['subject103' 'subject106'],1.201026180213715,0.8438563563369705,1.06176396833152,69.44837340876944,77.74725274725274,70.40605643496215,0.6031293847379948,0.7151159710761429,14,32,0.001
8,['subject103' 'subject106'],1.3653491042881065,1.6224239212203848,1.2565293566729778,64.92220650636492,57.96897038081806,63.91025641025641,0.509272799021389,0.4620192705776956,9,32,0.001
9,['subject101' 'subject104'],1.5791923952707956,1.4123561661294166,1.5303895856593062,41.74894217207334,47.07446808510638,45.0070323488045,0.26828409999640684,0.2945892657233692,2,32,0.001
10,['subject101' 'subject104'],1.4235056887560738,1.3099400273137045,1.3456914884216609,54.86600846262341,61.235955056179776,57.912234042553195,0.4383538762723448,0.4674827741598882,5,32,0.001
11,['subject101' 'subject104'],1.4977771802076332,1.177341919653222,1.4311952545818425,58.110014104372354,62.88515406162465,55.60908465244322,0.4690860606278871,0.47136279748087334,6,32,0.001
