,Test_Subjects,Test_Losses,Best_Val_Losses,Best_Train_Losses,Test_Accuracies,Best_Val_Accuracies,Best_Train_Accuracies,Test_F1s,Best_Val_F1s,Best_Val_Epochs,Batch_Size,Learning_Rate
0,['subject102' 'subject107'],3.3699126764313205,3.270016778044874,2.70371132496747,43.26923076923077,44.818304172274566,50.72967338429465,0.39933283275635345,0.40958066090699874,20,32,0.001
1,['subject102' 'subject107'],2.863557738323624,3.014380663823036,2.9630102421371483,48.62637362637363,54.03111739745403,49.19524142757173,0.4044182122459818,0.4561615463366132,20,32,0.001
2,['subject102' 'subject107'],3.1073902054091116,2.9561657611443564,3.01475587862913,47.252747252747255,42.03102961918194,47.028086218158066,0.4259973028004719,0.3867799417507678,19,32,0.001
3,['subject105' 'subject108'],4.120166019297144,3.598972653307501,3.4373019246951393,42.395693135935396,46.07843137254902,46.15942028985507,0.3414293819010774,0.39308168596764115,20,32,0.001
4,['subject105' 'subject108'],3.374044669027444,3.2780748370357533,2.6821169526702837,41.184387617765815,40.83694083694084,49.001426533523535,0.3493515013723212,0.34253989843048727,18,32,0.001
5,['subject105' 'subject108'],3.0887066880454124,3.269819108569638,2.7962775758490808,45.895020188425306,41.51967435549525,51.048492791612055,0.38148892701156156,0.385233831919057,16,32,0.001
6,['subject103' 'subject106'],4.614141631845116,5.27015458526714,4.427319887068639,42.432814710042436,35.39703903095558,39.76073187895848,0.39332524949505515,0.3210789439856886,20,32,0.001
7,['subject103' 'subject106'],3.421798365793943,3.502143944071217,2.843542926854911,51.76803394625177,48.62637362637363,49.41820670773443,0.4401766956460283,0.41993334332025156,18,32,0.001
8,['subject103' 'subject106'],3.3272320716154447,2.8444805769893446,2.464979607383918,44.554455445544555,50.49365303244006,52.85810356422327,0.4091185616243884,0.45242284919462206,20,32,0.001
9,['subject101' 'subject104'],4.270174035904942,4.110260045274775,2.7991678764902312,43.30042313117066,42.02127659574468,52.827586206896555,0.3806276418670108,0.3933051054017696,20,32,0.001
10,['subject101' 'subject104'],3.4008744892852096,3.1156774243611967,3.329004291721864,42.03102961918194,42.556179775280896,45.63233376792699,0.38407939281028525,0.37537534523353744,18,32,0.001
11,['subject101' 'subject104'],4.284547489856295,3.3885685235512355,2.9268598590018082,41.74894217207334,47.75910364145658,51.267991775188484,0.3704090698546142,0.4276180090655075,20,32,0.001
