,Test Subjects,Batch_Size,Learning_Rate,Epoch_Results
0,['subject102' 'subject107'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18], 'val_subjects': array(['subject104', 'subject105'], dtype='<U10'), 'train_loss': [2.629103044332084, 1.2552857553891543, 0.9996785566968432, 0.7427841928382378, 0.5671324423477475, 0.5824570033678227, 0.4090649709947365, 0.4693813712920173, 0.4960282262267366, 0.5152431750028147, 0.4494395448831515, 0.37699493601665657, 0.1869029477238655, 0.14199493396080146, 0.14495683486683894, 0.12052284568379827, 0.12351066806474648, 0.12782692597747522], 'train_acc': [63.27683615819209, 77.82485875706215, 80.64971751412429, 83.6864406779661, 85.45197740112994, 85.38135593220339, 87.85310734463278, 87.99435028248588, 86.86440677966101, 86.7231638418079, 88.2768361581921, 90.2542372881356, 93.71468926553672, 95.409604519774, 94.49152542372882, 95.83333333333333, 96.25706214689265, 95.409604519774], 'val_loss': [2.6806997882244885, 2.6697024715038005, 2.201062344465891, 2.3652944768481907, 2.6910851370758837, 1.8108985300641507, 1.6278626615254266, 1.35541813187602, 1.4556042808527354, 1.7980524630638022, 2.0272812321882387, 1.5208747526517947, 1.4605807084214157, 1.4524939662926049, 1.460404615362913, 1.5003155232839598, 1.53418653113404, 1.420935335347221], 'val_acc': [68.64064602960968, 66.89098250336474, 67.96769851951548, 67.6985195154778, 62.71870794078062, 71.60161507402422, 72.27456258411844, 73.35127860026918, 74.02422611036339, 71.06325706594886, 68.23687752355316, 71.73620457604306, 71.46702557200538, 72.1399730820996, 71.1978465679677, 70.79407806191116, 71.06325706594886, 71.33243606998654], 'val_f1': [0.6667599810133482, 0.6402359159009546, 0.6448467194036953, 0.63698183459528, 0.6065830785545596, 0.6883267544719196, 0.6921074614940552, 0.7199458543857776, 0.7319299658762346, 0.6850028894612356, 0.6382663335882155, 0.6993702742258207, 0.6918079241043281, 0.6975523571951638, 0.6880819108197649, 0.6853106554796875, 0.6852290384135422, 0.6899793803330867]}"
1,['subject102' 'subject107'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], 'val_subjects': array(['subject103', 'subject106'], dtype='<U10'), 'train_loss': [2.6983195600759227, 1.4477722784376013, 1.0103904097533423, 0.6853793903815845, 0.5636589842804864, 0.5601616977167524, 0.49065993508688344, 0.3879510669997244, 0.3971821513878741, 0.3479433725934383, 0.3550336334659377, 0.36009010738249325, 0.3374591591272801, 0.38840040082199184, 0.24614943756873287, 0.2775853828375661, 0.21115796054526137, 0.2335348193515759, 0.24866893405181975, 0.18380585113750672], 'train_acc': [63.08539944903581, 75.55096418732782, 78.71900826446281, 82.09366391184572, 84.64187327823691, 84.7107438016529, 85.26170798898072, 87.94765840220386, 87.67217630853995, 89.18732782369146, 89.32506887052341, 89.18732782369146, 91.39118457300276, 89.80716253443526, 92.28650137741047, 91.04683195592287, 92.90633608815428, 92.4931129476584, 92.35537190082644, 93.31955922865014], 'val_loss': [2.5778159680216453, 1.8488149036428743, 1.7978857123813146, 1.604839532160565, 1.4751780374183765, 1.5510681523993162, 1.4548507431013045, 1.6350924744260205, 1.4041910800559887, 1.5020039817259043, 1.509688920332211, 1.4025359390121708, 1.2529823572139085, 1.4902685325594773, 1.3118042261431935, 1.4003875007723818, 1.2499508346369044, 1.5031596274237653, 1.0651956917006717, 1.3398190606095666], 'val_acc': [66.61951909476662, 70.57991513437058, 69.3069306930693, 75.3889674681754, 71.004243281471, 72.41867043847242, 73.97454031117397, 71.2871287128713, 73.26732673267327, 75.24752475247524, 71.2871287128713, 72.27722772277228, 74.82319660537482, 73.12588401697313, 72.56011315417256, 71.004243281471, 74.68175388967468, 69.87270155586987, 75.1060820367751, 71.42857142857143], 'val_f1': [0.5912537907560171, 0.6557265812416555, 0.6301716464441409, 0.6828853360434, 0.6648605816118733, 0.6601740356985805, 0.6688929022957131, 0.6594941038384823, 0.6749176856184997, 0.6960282869357478, 0.666778495751007, 0.6636269638949148, 0.707000724490268, 0.6725200394593791, 0.6718558745764679, 0.6644218569738294, 0.6992861976705839, 0.6711615603656367, 0.7187694425758127, 0.6685120698031832]}"
2,['subject102' 'subject107'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'val_subjects': array(['subject101', 'subject108'], dtype='<U10'), 'train_loss': [3.1520193270979258, 1.2227757700558366, 0.9043206394129786, 0.7564038095803096, 0.5667579527558951, 0.45195931631943276, 0.38520730635215494, 0.4493038328557179, 0.3856482350415197, 0.20019544525393124, 0.1628379479975536, 0.13735235873995155, 0.11810276586433936, 0.12777067416700824, 0.1176592609080775], 'train_acc': [62.55172413793103, 77.65517241379311, 81.72413793103448, 82.41379310344827, 84.82758620689656, 86.96551724137932, 88.48275862068965, 87.10344827586206, 89.37931034482759, 93.10344827586206, 94.48275862068965, 95.37931034482759, 96.41379310344827, 96.06896551724138, 96.06896551724138], 'val_loss': [3.546921965819803, 2.4834310926094045, 2.16356334575335, 1.7597000650090806, 1.4771709426165636, 1.971792703369476, 1.942770243550773, 1.9246955645126247, 1.7510705240062936, 1.666744102696264, 1.7446287780296064, 1.7062236814981637, 1.580081644062108, 1.640195847632119, 1.585155310495448], 'val_acc': [61.071932299012694, 68.12411847672779, 64.17489421720734, 69.81664315937941, 71.79125528913963, 68.54724964739069, 68.12411847672779, 73.20169252468266, 72.63751763046544, 72.63751763046544, 70.80394922425953, 72.21438645980254, 72.49647390691115, 70.94499294781382, 72.77856135401974], 'val_f1': [0.5616748358789112, 0.6413788664080587, 0.6039351609923669, 0.6595341718577317, 0.6810022722456924, 0.6407725794908239, 0.6410561182027563, 0.6888937547196186, 0.6850449247787069, 0.688538805034332, 0.6741333139619448, 0.684240781879402, 0.695506271752079, 0.6731316413304813, 0.6936724368874723]}"
3,['subject105' 'subject108'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], 'val_subjects': array(['subject106', 'subject107'], dtype='<U10'), 'train_loss': [2.8306703030646263, 1.330371204289523, 0.8095171121450571, 0.7829938472567738, 0.6054997047552696, 0.6708363498841132, 0.3806450863818189, 0.37596681026312023, 0.3565025588015576, 0.3595542883956349, 0.43978163612472426, 0.3854094308364641, 0.37520767842139396, 0.25300095548162926, 0.17401675773667288, 0.1285501340886096, 0.10053330895367202, 0.09189153562684159, 0.08728138478277446, 0.0784867854697721], 'train_acc': [64.1958041958042, 76.85314685314685, 82.02797202797203, 82.23776223776224, 85.38461538461539, 84.05594405594405, 89.37062937062937, 88.25174825174825, 89.23076923076923, 89.72027972027972, 87.6923076923077, 88.1118881118881, 88.46153846153847, 91.60839160839161, 94.1958041958042, 94.8951048951049, 95.94405594405595, 97.27272727272727, 96.99300699300699, 96.92307692307692], 'val_loss': [3.7206551299041726, 2.825325021779827, 1.9298227545720898, 2.233703014229526, 1.889100474868013, 1.4500355562038656, 1.423925851677813, 2.1836049075887987, 2.0476895553535646, 1.128385449031822, 2.075135078416819, 1.5947854889895128, 2.0424698065308964, 1.3050879593990765, 1.164188717426706, 1.1778198151695294, 1.149662182400269, 1.1312694828279044, 1.170185517895372, 1.175218992018733], 'val_acc': [60.924369747899156, 65.26610644257703, 72.6890756302521, 68.4873949579832, 70.44817927170868, 75.21008403361344, 72.82913165266106, 67.92717086834733, 70.16806722689076, 74.64985994397759, 71.42857142857143, 72.82913165266106, 67.6470588235294, 73.94957983193277, 77.73109243697479, 77.45098039215686, 77.3109243697479, 78.43137254901961, 78.15126050420169, 78.01120448179272], 'val_f1': [0.556263026952275, 0.5967748919079403, 0.6546148374154392, 0.6532720313552294, 0.6352112170390578, 0.6916857568439742, 0.6570544204611365, 0.6415210565229896, 0.6476084889609479, 0.7216169561866073, 0.6802189805933438, 0.6807455897530075, 0.628919243637137, 0.7003136409381335, 0.7326808476654469, 0.7263724926347435, 0.7298326758449705, 0.7399973911768538, 0.7379056554322831, 0.7343690682965387]}"
4,['subject105' 'subject108'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], 'val_subjects': array(['subject101', 'subject103'], dtype='<U10'), 'train_loss': [2.694574841624864, 1.2278411817049504, 1.0269305576216674, 0.8391194532527174, 0.7688956920398998, 0.5682066181131595, 0.6170602004582268, 0.2541559943858711, 0.2110057301269902, 0.1833208463341511, 0.18464471463455487, 0.15886411740400314, 0.14421371509706785, 0.15655873136841683, 0.1554336664000517, 0.1371235452761821, 0.16959890203587685, 0.15812570054846578, 0.15757876620220365, 0.13298900989234078], 'train_acc': [65.47208821502412, 79.1867677463818, 82.35699517574086, 82.70158511371469, 84.01102687801516, 85.9407305306685, 87.11233631977946, 91.86767746381805, 92.62577532736044, 93.72846312887664, 93.65954514128187, 94.55547898001379, 96.14059269469331, 95.17574086836665, 95.10682288077189, 95.65816678152999, 94.55547898001379, 94.76223294279806, 95.10682288077189, 95.58924879393521], 'val_loss': [2.2278655407538284, 2.3191255154496297, 1.6185428247083022, 2.3025934223536972, 1.87046208165715, 2.314093963339828, 2.1207905676146006, 1.8295347404828857, 1.6099325976368781, 1.483175219328937, 1.5605639272440335, 1.577672683903316, 1.6174779832390007, 1.4239281576945249, 1.4769525731581803, 1.515252837499679, 1.400278877707475, 1.6064587375552302, 1.4262044993276246, 1.4915824748712094], 'val_acc': [70.41847041847042, 71.57287157287158, 70.41847041847042, 69.98556998556998, 71.86147186147186, 73.01587301587301, 72.43867243867244, 73.01587301587301, 75.75757575757575, 75.9018759018759, 75.61327561327562, 75.32467532467533, 74.89177489177489, 75.75757575757575, 75.9018759018759, 75.03607503607503, 76.47907647907648, 74.17027417027417, 77.2005772005772, 75.61327561327562], 'val_f1': [0.6652024638277327, 0.6831717425771806, 0.6890561506230577, 0.6464198355659622, 0.6849518466239473, 0.7012574066688044, 0.6836530247480919, 0.6964379708805153, 0.7417992847238946, 0.7415306383500708, 0.7387003798317946, 0.732524021229385, 0.7258327103396585, 0.7398156411202765, 0.7373547269761764, 0.7301155054171915, 0.7425737225344762, 0.7175292633826589, 0.7548687228827596, 0.7382703711518552]}"
5,['subject105' 'subject108'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], 'val_subjects': array(['subject102', 'subject104'], dtype='<U10'), 'train_loss': [3.1192805804338706, 1.0619262234594438, 0.5905377749186843, 0.7131924234388903, 0.6563452455958493, 0.6000890819926421, 0.5287987890612935, 0.3946022163830332, 0.3421951766842718, 0.3616713124467027, 0.2916939294795746, 0.29197245607233335, 0.2594085327153013, 0.2559438867291916, 0.18815322253289127, 0.108166717194079, 0.107468062054628, 0.07953891108327499, 0.0919801671714565, 0.05957108135014116], 'train_acc': [64.53447050461976, 78.25159914712154, 86.7093105899076, 84.57711442786069, 84.00852878464819, 85.14570007107321, 87.06467661691542, 89.19687277896233, 89.90760483297797, 89.62331201137171, 91.32906894100924, 91.32906894100924, 93.31911869225301, 92.181947405828, 95.02487562189054, 95.80668088130774, 96.090973702914, 97.22814498933901, 97.15707178393745, 98.22316986496091], 'val_loss': [1.875317619969434, 2.9736850782521222, 1.5381168355126555, 1.6496870501555776, 2.158676442168299, 1.4094335507788522, 1.9753781730154962, 1.5031580921752805, 1.7612735210959591, 1.1538138129170907, 1.781496200665043, 1.5045791920956877, 1.6770675845514968, 1.3799441944469104, 1.0303395326619555, 1.0105837187255902, 1.0642252645304924, 1.0355338425940381, 1.065939245748067, 1.0437730798242535], 'val_acc': [70.28493894165535, 59.15875169606513, 73.27001356852104, 69.06377204884667, 66.89280868385346, 73.94843962008142, 66.078697421981, 75.84803256445048, 71.23473541383989, 74.35549525101764, 73.94843962008142, 74.08412483039349, 73.13432835820896, 72.59158751696066, 78.42605156037992, 79.37584803256445, 78.83310719131615, 79.6472184531886, 79.37584803256445, 78.69742198100407], 'val_f1': [0.6681636089674032, 0.5949429063781877, 0.7147190895784801, 0.6884226868354207, 0.6455345083753823, 0.7104272897991041, 0.6484137329413362, 0.7378428398284014, 0.7115641450175699, 0.7250569246975033, 0.7311213168588702, 0.7247619051692527, 0.7243546952528941, 0.7199024999451186, 0.7696620693597676, 0.7823501377355928, 0.7749895714582857, 0.7869924536167158, 0.7820813204031922, 0.7754514938507575]}"
6,['subject103' 'subject106'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], 'val_subjects': array(['subject104', 'subject105'], dtype='<U10'), 'train_loss': [2.9240317217326446, 1.0582584906719423, 0.888887419788557, 0.7447307235512703, 0.6015411659338944, 0.49349756560644176, 0.26696444177843254, 0.23923997072374648, 0.24069114271019926, 0.22484316035493349, 0.20130645690606383, 0.20564759039970099, 0.2104075290547864, 0.17677938195675216, 0.17066147631045922, 0.17604999319911419, 0.16319164009499068, 0.1485385618528394, 0.1641210798347834], 'train_acc': [64.85734168406402, 77.73138482950591, 79.67988865692415, 82.18510786360473, 85.38622129436325, 87.1955462769659, 90.6750173973556, 92.34516353514266, 91.7884481558803, 91.92762700069589, 92.76270006958943, 93.24982602644398, 92.20598469032707, 93.66736256089075, 94.0848990953375, 93.80654140570633, 94.01530967292972, 94.57202505219206, 94.2240779401531], 'val_loss': [1.7088344231909731, 1.7686899788928385, 2.3578421427776806, 1.831018329629346, 2.423204144430353, 1.319351008249645, 1.3404072990006746, 1.3587241881949423, 1.1892004988556113, 1.254203878854518, 1.2417027279634334, 1.228682113367648, 1.322613108687574, 1.3001544167504497, 1.3330695276144857, 1.3488351095412654, 1.2331257463303742, 1.2207849885701811, 1.1953677977078054], 'val_acc': [69.71736204576042, 67.02557200538358, 65.14131897711978, 63.12247644683715, 62.98788694481831, 72.40915208613728, 72.00538358008076, 71.73620457604306, 73.48586810228802, 72.67833109017496, 72.00538358008076, 73.0820995962315, 71.33243606998654, 72.67833109017496, 71.33243606998654, 71.06325706594886, 72.27456258411844, 72.94751009421265, 72.67833109017496], 'val_f1': [0.6743072720932457, 0.6502100098794039, 0.6318580698178218, 0.6195885034556419, 0.6077085096449839, 0.7187121936282355, 0.7159124406943415, 0.7127086093533482, 0.730596015354829, 0.7188109279163293, 0.7144822386576146, 0.7252057958407937, 0.7095600114384181, 0.7226715550532903, 0.709898040801581, 0.7062869822947061, 0.7169648449912753, 0.7241495375163615, 0.7206673861737835]}"
7,['subject103' 'subject106'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], 'val_subjects': array(['subject102', 'subject107'], dtype='<U10'), 'train_loss': [2.995113523210047, 1.1211549450153326, 0.7900717288009391, 0.6631246575310867, 0.5940899046820386, 0.5950279143682524, 0.41794699003545377, 0.35239284951496386, 0.24057065044881226, 0.1905438682428733, 0.1627603316520528, 0.16067782013623183, 0.14604690014166608, 0.14763233853765756, 0.13099499013962496, 0.14345010511638703, 0.13831384116706769, 0.124829687301285, 0.1335539452259534, 0.1223613837574796], 'train_acc': [61.98347107438016, 76.37741046831955, 82.64462809917356, 82.57575757575758, 84.02203856749311, 84.43526170798899, 87.94765840220386, 89.73829201101928, 92.21763085399449, 93.59504132231405, 94.42148760330579, 94.35261707988981, 94.90358126721763, 94.90358126721763, 96.00550964187327, 94.76584022038567, 95.11019283746556, 95.79889807162535, 95.3168044077135, 95.9366391184573], 'val_loss': [2.1350648324515946, 2.099019610619807, 1.8086711371875277, 1.4493567545662858, 1.747355829674244, 1.7114183590274064, 1.6226363584481098, 1.5616325072619224, 1.2753293579953706, 1.167500820427949, 1.1759490310982033, 1.1896127958930416, 1.3201570438149457, 1.1544499082265647, 1.2191193840456205, 1.210361474349706, 1.2403015685625947, 1.1504786756109693, 1.1934861597031927, 1.1522936572110956], 'val_acc': [67.3076923076923, 67.58241758241758, 68.13186813186813, 72.52747252747253, 72.66483516483517, 69.50549450549451, 72.93956043956044, 71.01648351648352, 73.07692307692308, 75.13736263736264, 75.27472527472527, 75.68681318681318, 75.13736263736264, 76.64835164835165, 74.45054945054945, 74.31318681318682, 74.58791208791209, 75.13736263736264, 74.03846153846153, 75.68681318681318], 'val_f1': [0.6385987473892238, 0.6537570737631604, 0.6594348948471609, 0.6987618369205932, 0.7009023384370279, 0.6792814896731927, 0.7078765893163331, 0.6841861145790482, 0.7179224863448194, 0.7295795801059725, 0.7333552509541119, 0.7423633580752509, 0.7258740094389158, 0.7429758126712863, 0.7254349289954203, 0.7197976226822332, 0.725061088589059, 0.733506458529918, 0.7210484761248968, 0.7329620734196881]}"
8,['subject103' 'subject106'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], 'val_subjects': array(['subject101', 'subject108'], dtype='<U10'), 'train_loss': [2.929826266987643, 1.0626397787673711, 0.841875823965533, 0.5552298496018292, 0.6003263658767327, 0.6217646275873009, 0.42140708600356414, 0.3736726453440437, 0.34245760136117426, 0.48129324849003596, 0.2732181614106565, 0.23058725424480633, 0.17918117920773763, 0.14191684101022561, 0.13363339948986439, 0.12042751562870903, 0.09939026606049488, 0.11282389798916416, 0.14263107218380122, 0.08038305816380528], 'train_acc': [65.19374575118967, 79.6736913664174, 81.91706322229776, 84.77226376614549, 85.38409245411285, 84.16043507817811, 89.12304554724678, 88.64717878993882, 90.61862678450034, 87.89938817131203, 91.84228416043509, 93.13392250169953, 94.6974847042828, 95.17335146159076, 96.12508497620667, 96.05710401087696, 96.80489462950374, 95.85316111488783, 95.10537049626105, 97.62066621346023], 'val_loss': [2.1728053900435547, 2.0588886546672485, 2.2211565965174453, 1.8888012915639514, 2.2262537225250716, 2.156205294651146, 1.6343338732947221, 1.6464739739684695, 1.8328914668447795, 1.9568124009434038, 1.9402362463315384, 1.5486141122530814, 1.5735181910215716, 1.5403503228625222, 1.4049855507962794, 1.4290529107215206, 1.4576310647181294, 1.5261553456384178, 1.415692452393861, 1.3979075300088217], 'val_acc': [66.14950634696756, 68.68829337094499, 64.45698166431593, 65.86741889985896, 66.14950634696756, 68.8293370944993, 70.098730606488, 71.79125528913963, 69.1114245416079, 67.98307475317348, 67.98307475317348, 70.23977433004231, 69.1114245416079, 70.098730606488, 71.65021156558534, 71.36812411847673, 70.23977433004231, 70.098730606488, 70.94499294781382, 72.07334273624824], 'val_f1': [0.6321293198254903, 0.6594047248340396, 0.620268903532556, 0.6382253225390696, 0.6177396733069809, 0.6564348892778575, 0.670914226885317, 0.704059345954131, 0.671880518861943, 0.629688698256124, 0.6530572098500925, 0.6766598716886862, 0.6612806516890353, 0.6748689737187543, 0.6911335970485266, 0.6944193684851223, 0.6808366030219345, 0.6760037040259081, 0.6879203001278228, 0.7003821675115962]}"
9,['subject101' 'subject104'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], 'val_subjects': array(['subject102', 'subject105'], dtype='<U10'), 'train_loss': [2.6812407605945645, 1.191058673706496, 0.8177670263600383, 0.7563432076368559, 0.4370806739256726, 0.5064993626522984, 0.34252518699680773, 0.28539644631062117, 0.14637529611754718, 0.13698663983656012, 0.15251275161372663, 0.13309488702058625, 0.11253173588703257, 0.1060440431010673, 0.11250245461937923, 0.10482961052197957, 0.13292797977760498, 0.130367536761316, 0.10895613868306764, 0.0983988436626017], 'train_acc': [66.54978962131837, 79.59326788218794, 84.43197755960729, 85.20336605890603, 88.63955119214586, 86.46563814866761, 91.7952314165498, 92.98737727910239, 95.23141654978963, 95.16129032258064, 95.3015427769986, 95.79242636746143, 96.28330995792426, 96.63394109396914, 96.00280504908837, 96.14305750350631, 96.42356241234222, 96.14305750350631, 96.91444600280505, 96.7741935483871], 'val_loss': [3.51349993081803, 2.439710436032171, 2.205633780740677, 2.6268137071995024, 2.747583602971219, 2.370128026350998, 2.585733434779847, 2.0108084964783903, 1.9024148010401094, 1.8716142983210646, 1.8515216987976368, 1.9945248653914065, 1.859936207810298, 1.9244224028222194, 1.809121059372704, 1.769369688707384, 1.8372432549702042, 1.7604686651537393, 1.8604351028482964, 1.7603210256771837], 'val_acc': [63.16489361702128, 69.14893617021276, 70.87765957446808, 66.48936170212765, 66.09042553191489, 67.15425531914893, 66.88829787234043, 69.81382978723404, 69.54787234042553, 67.81914893617021, 71.67553191489361, 71.27659574468085, 71.54255319148936, 69.28191489361703, 73.00531914893617, 71.1436170212766, 70.2127659574468, 71.80851063829788, 71.01063829787235, 71.01063829787235], 'val_f1': [0.6094856453717152, 0.6589246123299155, 0.6899096466049418, 0.6320157318289206, 0.6319271393633037, 0.6368859269790006, 0.6175928255183307, 0.669192675204968, 0.6654522255238937, 0.6401669925881569, 0.6859546771756674, 0.6818545427047766, 0.6880029005464772, 0.657182932895724, 0.7021676916301676, 0.6843013520799217, 0.6708427321611556, 0.6917496276348009, 0.6827573882667929, 0.6826961314780766]}"
