,Test Subjects,Batch_Size,Learning_Rate,Epoch_Results
0,['subject102' 'subject107'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], 'val_subjects': array(['subject104', 'subject105'], dtype='<U10'), 'train_loss': [3.73914807933872, 2.770316078164483, 2.883950047573801, 1.0892295773419958, 1.0390109547787467, 0.8066726461642206, 0.6449656409058867, 0.6337860802472648, 0.6611449583775579, 0.6823823657412987, 0.41485473092666453, 0.35275562099144286, 0.3438496151886417, 0.34115012453100774, 0.33488335885570547, 0.28251131291443343, 0.3049155695963714, 0.3216991027196248, 0.33231464870231975, 0.3067223332022543], 'train_acc': [64.83050847457628, 61.228813559322035, 62.07627118644068, 74.92937853107344, 80.7909604519774, 81.42655367231639, 85.09887005649718, 85.73446327683615, 85.31073446327683, 84.18079096045197, 87.5, 89.4774011299435, 89.4774011299435, 89.97175141242938, 89.83050847457628, 91.38418079096046, 91.03107344632768, 90.81920903954803, 89.75988700564972, 90.74858757062147], 'val_loss': [14.487565320280968, 6.8897391353930635, 269.0045458150584, 2.0567771867017886, 1.3015236333112858, 1.234857616522431, 1.9875358480704424, 1.5532870540147194, 1.5591313394531106, 1.4251767313095314, 1.1103875124037346, 1.3444411408050865, 1.2644241513386067, 1.3550172687218616, 1.201861380026607, 1.076206846019782, 1.1773298029784078, 1.1215279223159216, 1.156985664431853, 1.088523404334307], 'val_acc': [59.219380888290715, 46.16419919246299, 43.203230148048455, 65.27590847913862, 65.14131897711978, 71.8707940780619, 62.44952893674294, 64.8721399730821, 64.60296096904442, 66.7563930013459, 70.65948855989232, 64.60296096904442, 65.814266487214, 64.06460296096904, 65.814266487214, 68.23687752355316, 65.54508748317632, 67.96769851951548, 67.29475100942126, 68.371467025572], 'val_f1': [0.5317958566395704, 0.42794441097535707, 0.3666982436102673, 0.5899003873680947, 0.5968036270062762, 0.6714803437681138, 0.5670887898939336, 0.5974704025376728, 0.5979230804493532, 0.643394178948749, 0.680474414749321, 0.6044339098792786, 0.6055976553096942, 0.5867779207194526, 0.6050334034850546, 0.6354224033607974, 0.6106240220959163, 0.625013698816576, 0.6396150511792407, 0.6439494660318759]}"
1,['subject102' 'subject107'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14], 'val_subjects': array(['subject103', 'subject106'], dtype='<U10'), 'train_loss': [3.8155692648296515, 0.9294581593889178, 1.486959169718845, 2.4761071904631686, 1.8841123456140523, 1.3274276371501366, 1.0971510354480796, 0.9749229125083314, 0.7289692442607617, 0.6386326676229471, 0.4748518818337727, 0.45275966753315994, 0.47889424486922166, 0.47336272538200885], 'train_acc': [64.11845730027548, 75.34435261707989, 72.45179063360881, 75.27548209366391, 75.48209366391184, 77.8236914600551, 72.24517906336088, 74.51790633608816, 81.68044077134986, 83.7465564738292, 84.366391184573, 85.3305785123967, 84.84848484848484, 86.77685950413223], 'val_loss': [1.725640974359263, 2.0174136003308116, 1.5529525029608688, 0.9159543085975054, 8.975433743151783, 37.66166345771965, 3.3174496142159424, 1.1235224954478307, 1.5087407198451364, 1.8346983906740515, 1.2638947431090626, 1.2188586754331832, 1.4293483809332193, 1.067520442491205], 'val_acc': [72.27722772277228, 52.192362093352195, 60.113154172560115, 72.56011315417256, 48.7977369165488, 73.83309759547383, 50.777934936350775, 64.4978783592645, 59.547383309759546, 69.87270155586987, 69.58981612446959, 69.16548797736917, 71.004243281471, 74.54031117397454], 'val_f1': [0.6924103372230903, 0.48822115923157705, 0.555964713254951, 0.7070454453278073, 0.4105663918851632, 0.6564466793481564, 0.4824813091723359, 0.6212931026435002, 0.5549773196050092, 0.6723310121545818, 0.6572204037593055, 0.663606114570733, 0.6892948136321724, 0.7339056925651435]}"
2,['subject102' 'subject107'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], 'val_subjects': array(['subject101', 'subject108'], dtype='<U10'), 'train_loss': [3.64007257116252, 2.8297742503264853, 1.3739116053745664, 1.3692224811685496, 1.0317025765468335, 0.5991708043525958, 0.5603250385152883, 0.5365256352260195, 0.8501793802195582, 0.9009813185395865, 1.0886238117875724, 0.6848926767809638, 0.6177265346461329, 0.527407738586952, 0.4382849482421217, 0.43205251759496227], 'train_acc': [65.58620689655173, 67.51724137931035, 72.27586206896552, 75.72413793103448, 79.58620689655173, 84.62068965517241, 83.37931034482759, 85.17241379310344, 82.13793103448276, 82.48275862068965, 79.10344827586206, 82.96551724137932, 83.72413793103448, 84.27586206896552, 85.79310344827586, 86.55172413793103], 'val_loss': [4.943611985705522, 4.774192070885337, 2.7188556784467064, 3.7392301748392445, 2.157955111796496, 1.1162862841181762, 1.6048240873263822, 2.35505344148079, 2.826792252416839, 3.6029449744394366, 3.1824786718225444, 3.944858407730444, 3.0961437715461795, 2.694707700223445, 2.4331461919421704, 2.7105705310263484], 'val_acc': [41.60789844851904, 53.878702397743304, 49.78843441466855, 57.68688293370945, 56.13540197461213, 67.27785613540198, 59.37940761636107, 51.48095909732017, 52.32722143864598, 44.42877291960508, 52.750352609308884, 49.22425952045134, 48.236953455571225, 47.10860366713681, 47.67277856135402, 47.53173483779972], 'val_f1': [0.3738705211405038, 0.5163937750360659, 0.4718466103547012, 0.5578722453381126, 0.5403901875788923, 0.6698756258969834, 0.5596641867705987, 0.4722171153602618, 0.49926890792451956, 0.423888927626459, 0.5046585343135866, 0.4591895155326892, 0.44924700894596786, 0.45991742416237685, 0.46336533906840993, 0.4695143664123072]}"
3,['subject105' 'subject108'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], 'val_subjects': array(['subject106', 'subject107'], dtype='<U10'), 'train_loss': [2.733595894099949, 1.3213318149526636, 1.3586415380031078, 0.7766669749796807, 0.7376342683405309, 0.6026263273679293, 0.5754773008239853, 0.4298008883749688, 0.398736151115044, 0.32857206278330797, 0.31075494135176385, 0.29964058311669145, 0.28194322410996975, 0.28021806436818797, 0.3030178147179263, 0.33648487037712044, 0.24978925215822834, 0.2635438649804442, 0.24324682100669487, 0.26093427576385175], 'train_acc': [63.91608391608391, 73.07692307692308, 74.75524475524476, 78.1118881118881, 81.32867132867133, 82.02797202797203, 82.23776223776224, 87.41258741258741, 87.97202797202797, 90.55944055944056, 90.97902097902097, 90.27972027972028, 91.53846153846153, 90.9090909090909, 91.04895104895105, 91.46853146853147, 92.3076923076923, 91.81818181818181, 92.37762237762237, 91.74825174825175], 'val_loss': [7.734093821015344, 1.0770972658272218, 1.6734485940105106, 0.8469753896488863, 0.576974978967875, 0.9961850678219515, 0.7584014356720681, 0.8621792941242039, 0.6172159728241944, 0.6372542324487683, 0.5996423527827951, 0.6161366723026527, 0.5552299373759693, 0.5898933577760845, 0.6170164649544352, 0.49769449427577794, 0.5683224466459758, 0.5931730022111318, 0.5674046016968682, 0.5839366758612692], 'val_acc': [47.89915966386555, 69.74789915966386, 50.42016806722689, 71.1484593837535, 78.57142857142857, 73.66946778711484, 79.27170868347339, 75.07002801120449, 81.23249299719888, 80.812324929972, 80.95238095238095, 81.5126050420168, 81.9327731092437, 81.09243697478992, 80.67226890756302, 82.07282913165267, 80.67226890756302, 81.5126050420168, 80.812324929972, 81.65266106442577], 'val_f1': [0.3583992443666797, 0.6371891135795511, 0.48395668937023273, 0.7193769123601144, 0.7661360479821717, 0.7176836747475399, 0.7618679724579895, 0.7300845046718631, 0.8023748485997406, 0.7832559352560119, 0.79828989948089, 0.7968573945796589, 0.8066978475809898, 0.7950127225337634, 0.7841833904485782, 0.8048853320234045, 0.791818864373829, 0.7975503417768843, 0.796591003595915, 0.807699602189436]}"
4,['subject105' 'subject108'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], 'val_subjects': array(['subject101', 'subject103'], dtype='<U10'), 'train_loss': [3.2995815612298713, 1.9475572370480538, 0.7657412838147148, 0.46012476072239106, 0.6057317837158784, 0.46981896606911305, 0.9745770606560842, 0.3821306800756021, 0.3759500173598959, 0.3345595986000182, 0.31520156002636207, 0.37643887631358935, 0.21197671642967292, 0.3326846894767677, 0.23937959164935585, 0.2732556203751216, 0.1811899964888288, 0.2047087514014346, 0.23711863926244062, 0.192520396287157], 'train_acc': [70.0895933838732, 74.56926257753274, 81.736733287388, 87.31909028256375, 88.21502412129566, 86.97450034458994, 88.21502412129566, 89.31771192281185, 91.0406616126809, 91.45416953824949, 93.31495520330806, 94.6933149552033, 94.00413507925569, 94.00413507925569, 93.59062715368711, 93.45279117849759, 94.55547898001379, 94.41764300482426, 94.6933149552033, 94.41764300482426], 'val_loss': [2.805295697863098, 1.0354035333132245, 1.0915461358692211, 0.9808892002307392, 1.043796909805038, 1.426085073455851, 1.7239849926019557, 1.5109336489937866, 1.0671355267946339, 0.7629465746544141, 0.7857409963682617, 0.7534742720833675, 0.7819915607593104, 0.9130293083945652, 0.8530938747415553, 0.7804079724241902, 0.7718258553371371, 0.7810762444132077, 0.971825575109297, 0.7903916211140276], 'val_acc': [71.71717171717172, 73.88167388167388, 77.05627705627705, 73.44877344877345, 76.47907647907648, 70.70707070707071, 68.3982683982684, 67.0995670995671, 74.45887445887446, 79.36507936507937, 78.35497835497836, 81.38528138528139, 78.4992784992785, 78.06637806637806, 78.78787878787878, 78.64357864357865, 79.36507936507937, 80.51948051948052, 75.9018759018759, 78.4992784992785], 'val_f1': [0.6956301602502043, 0.7291759879683752, 0.7480196139815884, 0.7276214856760513, 0.7533674963907784, 0.6987025605253869, 0.6598845419144941, 0.638296006847952, 0.7295159950608505, 0.7812675291998624, 0.7690638619697069, 0.8021549891980702, 0.7727684453439427, 0.7631308014692424, 0.7733487712211686, 0.7706100311082524, 0.7799111028586891, 0.7913905237683383, 0.7464942212375199, 0.7723427676491199]}"
5,['subject105' 'subject108'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], 'val_subjects': array(['subject102', 'subject104'], dtype='<U10'), 'train_loss': [4.430621079459797, 1.501995278574002, 0.9881891845470637, 1.1701125237818042, 1.2340473705093828, 1.5345114185696556, 1.1833617529635236, 0.9111003644007186, 1.1502051475671649, 0.7768544799144503, 0.6706584408169701, 0.6553823904272674, 0.5254057762825328, 0.4716064167641204, 0.4279046170598832, 0.3696937837876914, 0.3245210725636709, 0.38726498752133426, 0.32476452384845705, 0.2897730591920732], 'train_acc': [63.32622601279318, 76.90120824449183, 84.43496801705757, 82.94243070362474, 77.11442786069652, 70.22032693674485, 73.98720682302772, 80.09950248756219, 79.24662402274343, 83.86638237384506, 86.06965174129353, 85.50106609808103, 88.20184790334044, 88.20184790334044, 88.34399431414357, 89.76545842217485, 91.11584932480454, 90.97370291400142, 91.4001421464108, 91.32906894100924], 'val_loss': [8.769754418524505, 1.268158023198877, 0.8596917818751555, 2.277892083131798, 9.04342607540436, 28.104730667099055, 0.7480124201185829, 0.5596210112140654, 0.932685129213042, 0.6168261890677454, 0.6175982050365153, 0.6457121364135432, 0.537215725446734, 0.5157252943681571, 0.5310684669171454, 0.5701498727502461, 0.5471135797825727, 0.5361119181377715, 0.5454530161950772, 0.5147492173765982], 'val_acc': [86.83853459972863, 80.32564450474898, 80.32564450474898, 69.60651289009498, 64.58616010854817, 46.404341926729984, 78.01899592944369, 83.71777476255089, 75.44097693351425, 83.17503392130257, 83.85345997286296, 83.85345997286296, 83.98914518317504, 86.70284938941656, 85.48168249660787, 83.98914518317504, 85.48168249660787, 85.8887381275441, 84.66757123473542, 85.75305291723203], 'val_f1': [0.8570553367544442, 0.7957270057849368, 0.7730381808105107, 0.6844660107998362, 0.5843310491006763, 0.4419051783796375, 0.7465554481619567, 0.8287829394965464, 0.7506030012862227, 0.8039365966419525, 0.8130261671600495, 0.8030960974306695, 0.8177588713506561, 0.8542524228625468, 0.8398507423103014, 0.8157932238003546, 0.8368980795778826, 0.8413606145468597, 0.8258747732526884, 0.8369410860781529]}"
6,['subject103' 'subject106'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], 'val_subjects': array(['subject104', 'subject105'], dtype='<U10'), 'train_loss': [2.5854706727512693, 0.8798862732195074, 0.7869061645568869, 0.8926168457451344, 0.8707502473122392, 1.2430327102469336, 0.8499309031517039, 0.788914029268067, 0.5602823526973765, 0.9051173742064687, 0.8268681559698733, 0.6646028095305422, 0.47047858849613716, 0.48969171815807816, 0.4224062295592984, 0.3105383898204785, 0.32326427651679424, 0.2814573390084003, 0.30893320836536403, 0.27115069755412013], 'train_acc': [71.12038970076549, 79.26235212247738, 81.83716075156576, 83.08977035490605, 83.43771746694503, 82.95059151009046, 83.92484342379959, 85.17745302713988, 87.75226165622826, 86.22129436325679, 85.94293667362561, 82.88100208768267, 88.10020876826722, 87.75226165622826, 88.23938761308281, 89.90953375086987, 91.30132219902575, 91.9972164231037, 91.30132219902575, 91.51009046624912], 'val_loss': [1.5160754233959706, 5.880344843318934, 1.6527437180240574, 1.0549831523548707, 1.5506476248899026, 3.6479922842690633, 0.8092851727839915, 0.7545015203439371, 0.9471061686166684, 0.739684908418925, 0.8599349670588449, 0.9326299462632889, 0.8530862225497876, 0.8762201520026452, 0.8066900572256959, 0.7199395450576639, 0.7592077308195276, 0.7866816684342971, 0.8230750931384265, 0.7734106917079654], 'val_acc': [73.88963660834455, 56.796769851951545, 59.4885598923284, 73.7550471063257, 70.39030955585464, 62.18034993270525, 74.56258411843876, 79.27321668909825, 79.54239569313593, 78.06191117092867, 74.42799461641992, 74.29340511440108, 79.54239569313593, 73.48586810228802, 72.27456258411844, 75.50471063257066, 74.96635262449529, 75.37012113055182, 75.37012113055182, 77.5235531628533], 'val_f1': [0.7237654677338226, 0.5525872894558532, 0.5945513107401332, 0.733077592530134, 0.6384945600423388, 0.6214847515683396, 0.707980215381999, 0.7839494340261407, 0.7959076414825159, 0.7838595344685811, 0.7395851070205577, 0.7410156541924973, 0.7856341350590654, 0.7309028807707182, 0.7231996715800811, 0.7577733907176332, 0.749245063945412, 0.7535071671628155, 0.7538038257184937, 0.7767517304001369]}"
7,['subject103' 'subject106'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], 'val_subjects': array(['subject102', 'subject107'], dtype='<U10'), 'train_loss': [2.8385960175642952, 1.9666313028204212, 1.0086215504601639, 1.321694385250081, 0.8075720855027191, 0.6083542435294013, 1.6642249704392489, 1.8623989258915925, 1.3043224460678817, 0.7788682512672152, 0.5585902339827588, 0.5413469037159087, 0.47976095715830147, 0.48374316301556003, 0.46683204141201723, 0.4893233189898089, 0.46366775528458526, 0.4474347790410696, 0.42431086843663995, 0.39391933755112746], 'train_acc': [63.22314049586777, 69.14600550964187, 78.65013774104683, 75.9641873278237, 81.74931129476585, 83.53994490358127, 74.24242424242425, 65.2892561983471, 73.7603305785124, 81.95592286501378, 82.92011019283747, 82.57575757575758, 84.22865013774104, 83.81542699724518, 84.91735537190083, 84.77961432506888, 85.53719008264463, 85.81267217630854, 86.15702479338843, 87.87878787878788], 'val_loss': [53.60308252320021, 2.7895385257459684, 0.8168752743276655, 0.9202154498103522, 0.5197780185153933, 0.7383768862870695, 5.606636550645907, 1.4331731576840956, 0.919565063297421, 0.5656506176352735, 0.5033197229093096, 0.556999337027434, 0.5008645861506831, 0.3880394328728441, 0.40691310773056083, 0.7152259632085378, 0.49132625557543647, 0.4636735763652813, 0.4252778889079179, 0.40688459713851194], 'val_acc': [51.23626373626374, 69.64285714285714, 78.70879120879121, 73.07692307692308, 81.5934065934066, 75.13736263736264, 54.67032967032967, 67.03296703296704, 69.36813186813187, 81.18131868131869, 87.91208791208791, 86.12637362637362, 87.22527472527473, 89.83516483516483, 89.01098901098901, 83.51648351648352, 87.36263736263736, 86.95054945054945, 86.95054945054945, 87.91208791208791], 'val_f1': [0.4318758662010451, 0.6753179281932733, 0.7641198540796306, 0.6916804260603568, 0.8040081819884062, 0.7228393309311728, 0.5431565474830654, 0.6456689721154699, 0.6741536598998509, 0.7876883151585445, 0.8626166322847504, 0.8436509300853431, 0.862482125896997, 0.8884257578779012, 0.8827982731909556, 0.8350330057961071, 0.866789731656886, 0.8533617527775641, 0.8557561821348587, 0.8677211301985321]}"
8,['subject103' 'subject106'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17], 'val_subjects': array(['subject101', 'subject108'], dtype='<U10'), 'train_loss': [2.80269022566538, 1.19536990117735, 0.6033600322816098, 0.8203616424290847, 0.6108669318729805, 0.6732966210832407, 0.41752599182783706, 0.33149430461678675, 0.37489132331918484, 0.2951166212639786, 0.27518226474746404, 0.25336746482481204, 0.2655824632931534, 0.25253878366695953, 0.5378743487503316, 0.24901216777508797, 0.24455031633052918], 'train_acc': [66.75730795377294, 75.11896668932698, 86.743711760707, 85.79197824609109, 85.45207341944256, 82.05302515295718, 87.96736913664174, 89.66689326988443, 90.00679809653298, 90.41468388851122, 91.63834126444596, 91.43439836845683, 91.162474507138, 92.45411284840245, 91.77430319510538, 92.59007477906187, 92.59007477906187], 'val_loss': [10.671275857137188, 1.635628303788781, 1.88272752798831, 2.865014989890568, 2.51071434881018, 2.2827712359624077, 1.5763909153230435, 1.6046154584803938, 2.0524434815141226, 1.5872417512666355, 1.9035400752035956, 2.2526027661536747, 2.005898828251742, 2.252534201980814, 2.430760270092316, 2.318147781495483, 2.1128320178629143], 'val_acc': [55.148095909732014, 56.69957686882934, 45.55712270803949, 52.32722143864598, 66.71368124118477, 55.712270803949224, 61.636107193229904, 59.94358251057828, 58.674188998589564, 66.43159379407616, 60.36671368124119, 59.520451339915375, 59.80253878702398, 58.956276445698165, 58.81523272214386, 58.25105782792666, 59.80253878702398], 'val_f1': [0.5505511315178231, 0.5595786445381987, 0.48243039208945576, 0.542564940200917, 0.6458027915601336, 0.5391484728132104, 0.6189227301615767, 0.6061920126156572, 0.6004318321192007, 0.6587489291034153, 0.6230468774585154, 0.6164927615192026, 0.6162351921863534, 0.61138816790832, 0.6047424686397394, 0.5969477813804699, 0.6184094709193377]}"
9,['subject101' 'subject104'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], 'val_subjects': array(['subject102', 'subject105'], dtype='<U10'), 'train_loss': [3.2407108383125207, 1.6478763531167242, 1.612411112136627, 1.690529061567566, 0.862978568752551, 0.7035999057336408, 0.5006844793429381, 0.5799274008203857, 0.4512592701223087, 0.4782944220062058, 0.48481995912287046, 0.41101065098319783, 0.5181314079156263, 0.5412545073751314, 0.36504355494617413, 0.3910496926658786, 0.2768610204670573, 0.30061731820855536, 0.25361652528086015], 'train_acc': [64.09537166900421, 69.56521739130434, 76.29733520336606, 73.28190743338008, 79.38288920056101, 84.57223001402525, 85.69424964936887, 88.8499298737728, 87.16690042075736, 88.77980364656382, 88.63955119214586, 88.8499298737728, 88.56942496493689, 86.1851332398317, 89.34081346423562, 89.34081346423562, 91.44460028050491, 91.30434782608695, 91.93548387096774], 'val_loss': [151.5470728435098, 1.5147930531108633, 1.3272620289328885, 3.320993183141059, 1.0569453915180775, 1.1825494477723508, 0.904868604417177, 1.497566930157073, 0.8752722109251834, 1.0683410756607006, 1.3725666682770912, 0.9731645954356707, 1.3902240420909637, 0.9900349072636442, 1.086824082432592, 1.1244072635420301, 0.9712291084071423, 0.9512692589431684, 1.0889823802925171], 'val_acc': [30.71808510638298, 66.75531914893617, 62.36702127659574, 48.670212765957444, 74.06914893617021, 71.94148936170212, 72.6063829787234, 65.02659574468085, 73.93617021276596, 74.20212765957447, 63.430851063829785, 71.94148936170212, 69.28191489361703, 75.66489361702128, 74.60106382978724, 77.12765957446808, 76.4627659574468, 76.72872340425532, 76.4627659574468], 'val_f1': [0.22222524561817594, 0.6257722840104663, 0.6155125780438009, 0.47301908535754805, 0.7131372924215666, 0.7027147764225186, 0.7034963762762404, 0.6394050964703415, 0.7129918861227956, 0.7173647104317075, 0.6388459193758294, 0.7031811992901374, 0.6498447063206931, 0.7362378186299829, 0.7206461703114138, 0.7508301482008126, 0.7402513566243483, 0.7434187543908184, 0.7391332678762061]}"
