,Test_Subjects,Test_Losses,Best_Val_Losses,Best_Train_Losses,Test_Accuracies,Best_Val_Accuracies,Best_Train_Accuracies,Test_F1s,Best_Val_F1s,Best_Val_Epochs,Batch_Size,Learning_Rate
0,['subject102' 'subject107'],1.9184053737553461,1.35541813187602,0.4693813712920173,73.48901098901099,73.35127860026918,87.99435028248588,0.7021050853941881,0.7199458543857776,8,32,0.001
1,['subject102' 'subject107'],1.4615465698812982,1.0651956917006717,0.24866893405181975,73.07692307692308,75.1060820367751,92.35537190082644,0.6940546319941295,0.7187694425758127,19,32,0.001
2,['subject102' 'subject107'],1.3368176233309963,1.4771709426165636,0.5667579527558951,75.54945054945055,71.79125528913963,84.82758620689656,0.7181904059978323,0.6810022722456924,5,32,0.001
3,['subject105' 'subject108'],1.8449437279156429,1.128385449031822,0.3595542883956349,66.21803499327052,74.64985994397759,89.72027972027972,0.6479349526421905,0.7216169561866073,10,32,0.001
4,['subject105' 'subject108'],1.432362781873933,1.400278877707475,0.16959890203587685,72.8129205921938,76.47907647907648,94.55547898001379,0.7205793714543042,0.7425737225344762,17,32,0.001
5,['subject105' 'subject108'],1.3482949103217468,1.0105837187255902,0.108166717194079,71.8707940780619,79.37584803256445,95.80668088130774,0.7088930581343726,0.7823501377355928,16,32,0.001
6,['subject103' 'subject106'],0.9394247842639094,1.1892004988556113,0.24069114271019926,75.95473833097596,73.48586810228802,91.7884481558803,0.7409147463256349,0.730596015354829,9,32,0.001
7,['subject103' 'subject106'],1.0982981204059201,1.1504786756109693,0.124829687301285,74.96463932107497,75.13736263736264,95.79889807162535,0.6960714282253728,0.733506458529918,18,32,0.001
8,['subject103' 'subject106'],1.1629917832642076,1.3979075300088217,0.08038305816380528,77.08628005657708,72.07334273624824,97.62066621346023,0.7404042887476165,0.7003821675115962,20,32,0.001
9,['subject101' 'subject104'],2.0997247833795374,1.7603210256771837,0.0983988436626017,73.20169252468266,71.01063829787235,96.7741935483871,0.7007436481894658,0.6826961314780766,20,32,0.001
10,['subject101' 'subject104'],1.34838774443009,1.0833788376741027,0.0859314466116373,73.20169252468266,77.1067415730337,97.33969986357435,0.7155751912233084,0.7656928270476586,18,32,0.001
11,['subject101' 'subject104'],1.3935528638837031,0.9845893534333432,0.2245685126367814,74.61212976022567,79.55182072829132,93.16939890710383,0.7329301843199181,0.7613527779826308,15,32,0.001
